Bus,Bus 01,Bus 02,Bus 03,Bus 04,Bus 05,Bus 06,Bus 07,Bus 08,Bus 09,Bus 10,Bus 11,Bus 12,Bus 13,Bus 14,Bus 15,Bus 16,Bus 17,Bus 18,Bus 19,Bus 20,Bus 21,Bus 22,Bus 23,Bus 24,Bus 25,Bus 26,Bus 27,Bus 28,Bus 29,Bus 30,Bus 31,Bus 32,Bus 33,Bus 34,Bus 35,Bus 36,Bus 37,Bus 38,Bus 39
Bus 01,0.0570+j-0.3166,-0.0216+j0.1198,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0354+j0.1969
Bus 02,-0.0216+j0.1198,0.1833+j-6.5429,-0.0587+j0.3260,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.1030+j0.5723,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j5.5249,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 03,0.0000+j0.0000,-0.0587+j0.3260,0.4889+j-0.9295,-0.0416+j0.2311,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0666+j0.3701,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 04,0.0000+j0.0000,0.0000+j0.0000,-0.0416+j0.2311,0.6795+j-1.1812,-0.0692+j0.3845,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0687+j0.3816,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 05,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0692+j0.3845,0.4892+j-2.7171,-0.3408+j1.8931,0.0000+j0.0000,-0.0791+j0.4395,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 06,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.3408+j1.8931,0.5452+j-8.7426,-0.0963+j0.5350,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.1081+j0.6003,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j5.7143,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 07,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0963+j0.5350,0.5228+j-1.6890,-0.1926+j1.0700,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 08,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0791+j0.4395,0.0000+j0.0000,-0.1926+j1.0700,0.8182+j-1.8211,-0.0244+j0.1356,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 09,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0244+j0.1356,0.0599+j-0.3325,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0354+j0.1969
Bus 10,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.4122+j-8.5393,-0.2061+j1.1447,0.0000+j0.0000,-0.2061+j1.1447,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j6.2500,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
