Bus,Bus 01,Bus 02,Bus 03,Bus 04,Bus 05,Bus 06,Bus 07,Bus 08,Bus 09,Bus 10,Bus 11,Bus 12,Bus 13,Bus 14,Bus 15,Bus 16,Bus 17,Bus 18,Bus 19,Bus 20,Bus 21,Bus 22,Bus 23,Bus 24,Bus 25,Bus 26,Bus 27,Bus 28,Bus 29,Bus 30,Bus 31,Bus 32,Bus 33,Bus 34,Bus 35,Bus 36,Bus 37,Bus 38,Bus 39
Bus 01,(1.056586851815924+3.40042318492425j),(0.45620644271755617+0.6308070452280037j),(0.26708416866608964+0.12809124721227041j),(0.07518775945704688-0.018285999022936907j),(0.056048694147346395-0.027650304966895932j),(0.05258257391602431-0.028148024773874666j),(0.04557602761237678-0.03518081872584704j),(0.05424300629623284-0.033686885251354846j),(0.33939477702303955+0.08361061139661821j),(0.048743362924920854-0.022807312858875495j),(0.04879997148388742-0.023019439085635862j),(0.04845621606565421-0.022688458896814045j),(0.04868297735808338-0.022592514165435576j),(0.05222220435952555-0.021112738356444092j),(0.021198693366591376-0.022673368586472082j),(0.028286703011369516-0.020713003824450765j),(0.09457914372179393-0.003836951127884021j),(0.15466470206302305+0.021651618038900606j),(0.001209643877788838-0.011692419308212255j),(0.00021749816862258377-0.011497153995308998j),(0.008426579564497012-0.01770664399969731j),(0.004003187213082324-0.016722815300772936j),(0.0009695124837989619-0.016044847885636964j),(0.016443393289370275-0.026307634118402305j),(0.43831507062932884+0.33725179079567713j),(0.15287660152252808+0.02308658390858326j),(0.0966562344417337-0.024811291150410936j),(0.03860045616505931-0.03490391664866608j),(0.030482730983272983-0.03702514835835091j),(0.45620644271755634+0.6308070452280039j),(0.05249489791208644-0.028209832489839513j),(0.04874336292492084-0.022807312858875498j),(0.0012096438777888354-0.011692419308212253j),(0.0002174981686225829-0.011497153995308996j),(0.004003187213082324-0.016722815300772936j),(0.0009695124837989602-0.016044847885636957j),(0.43831507062932884+0.33725179079567713j),(0.030482730983273004-0.03702514835835092j),(0.5357536051635541+0.16459629302550255j)
Bus 02,(0.45620644271755595+0.6308070452280033j),(1.0053334745183107+1.676773836630324j),(0.6389369534652299+0.38570901663402185j),(0.1740669789145042-0.006942696697036564j),(0.0858897845410802-0.028036398861179482j),(0.07833493210130979-0.029430069008297755j),(0.04497857997562847-0.03970552932027125j),(0.041298575849311424-0.04046776650576989j),(0.08914211929894138-0.020134700021917265j),(0.08628940706511351-0.023570508360506583j),(0.08541501211266483-0.023902932584408534j),(0.08578546174122231-0.023457048878783415j),(0.0871568596358125-0.02323477508120614j),(0.11067735274701139-0.02202946550379716j),(0.05457688732273152-0.044789240489942296j),(0.075770906231415-0.0425691522373531j),(0.23800696818095726+0.014204943226099229j),(0.3826866286925826+0.09221238375487609j),(0.006451928281423229-0.028416175116493168j),(0.003952172226459504-0.02823047745068154j),(0.026000594653575765-0.04107266914531779j),(0.014821998172261227-0.0399660239903541j),(0.0071544722701159455-0.03919910274521052j),(0.048286578004117245-0.059857612767392356j),(1.0240410446007837+0.9384687789671172j),(0.378112939021758+0.09120270136206467j),(0.24808288351437974-0.04002647383660415j),(0.10435506689632784-0.07905957170131797j),(0.0844725947552698-0.0861463675183652j),(1.0053334745183111+1.6767738366303249j),(0.07822441482272816-0.029532236610272076j),(0.0862894070651135-0.023570508360506587j),(0.006451928281423222-0.02841617511649316j),(0.003952172226459503-0.028230477450681538j),(0.01482199817226123-0.0399660239903541j),(0.0071544722701159386-0.03919910274521051j),(1.0240410446007837+0.9384687789671172j),(0.08447259475526986-0.08614636751836521j),(0.12210732806963288-0.006084460830303239j)
Bus 03,(0.26708416866608947+0.1280912472122705j),(0.63893695346523+0.385709016634022j),(0.978492518926718+0.9329145090410452j),(0.30750077401256987+0.06104916794384821j),(0.15382319433345928-0.00963310986827147j),(0.14102905622191378-0.014898088595827301j),(0.08429447976246264-0.045162215156851364j),(0.0744941201656132-0.04875515480318346j),(0.0545003485987314-0.03696121878666943j),(0.15433169828374033-0.0018313797283437752j),(0.1528496268138101-0.002774414767428436j),(0.1534408965067029-0.0018610860511624888j),(0.1558007387029673-0.0008858384976606487j),(0.19750926951933945+0.011128669210099612j),(0.10207513131576328-0.046984678017581875j),(0.12592394210646254-0.035234060300150215j),(0.3368465169817626+0.10645491639812771j),(0.5946113824759447+0.31283619854682393j),(0.019554000108738073-0.039239430551584215j),(0.01583378799188022-0.03985848000731177j),(0.05263825541800639-0.050776389176718215j),(0.03590353031001537-0.05314091940030306j),(0.024422192591548188-0.05475128679369812j),(0.09190698715379214-0.07029658879548341j),(0.523246261657728+0.1278919575140109j),(0.2046675713509847-0.052159226501685606j),(0.20294968855027454-0.05360714140982896j),(0.030038114318102094-0.06443462986394483j),(0.018694653051561608-0.0627918101519428j),(0.6389369534652305+0.38570901663402224j),(0.1408913075244839-0.015112757294647762j),(0.1543316982837403-0.001831379728343789j),(0.01955400010873806-0.0392394305515842j),(0.01583378799188022-0.03985848000731177j),(0.03590353031001538-0.053140919400303084j),(0.024422192591548184-0.05475128679369812j),(0.523246261657728+0.1278919575140109j),(0.018694653051561632-0.06279181015194282j),(0.04075256910743112-0.028817332923493783j)
Bus 04,(0.07518775945704687-0.018285999022936907j),(0.1740669789145042-0.0069426966970365794j),(0.3075007740125698+0.06104916794384821j),(0.7121135665703449+0.715057410972278j),(0.4125896319944077+0.2551002928867734j),(0.3847280890637266+0.2178974630526257j),(0.2916447048154295+0.03980255733940043j),(0.27051243622117527+0.013059082334171829j),(0.1191878523638267-0.009623440692154296j),(0.3818994144055725+0.2713810480258001j),(0.3807107514736977+0.2666594775327951j),(0.3797670897270158+0.26971582535169764j),(0.38305162802365894+0.27608547350156826j),(0.449923261235303+0.377514397847j),(0.1523812804150826+0.027676542576519435j),(0.06787503257883334-0.030607411729855226j),(0.10505769889398422-0.02840292987404741j),(0.16950206650522426-0.019007328275501043j),(0.007651184672195508-0.023762698397099644j),(0.005503925362542354-0.023792943654077945j),(0.02528909921726146-0.03308768856398572j),(0.015665970597558795-0.032987213933566614j),(0.009064764273267741-0.03291158899977758j),(0.045725642963807475-0.047435921159781014j),(0.11873063211709443-0.043292259682285644j),(0.03630571656201796-0.04119197050869729j),(0.04135387720626642-0.043947773728952554j),(-0.0029919393593149136-0.0182380224958433j),(-0.005187027563762369-0.01622300290473215j),(0.1740669789145043-0.0069426966970365656j),(0.38476788700043885+0.21710322064753979j),(0.3818994144055724+0.27138104802580004j),(0.007651184672195499-0.023762698397099633j),(0.005503925362542354-0.023792943654077945j),(0.015665970597558806-0.03298721393356663j),(0.009064764273267738-0.03291158899977758j),(0.11873063211709443-0.04329225968228566j),(-0.005187027563762368-0.016223002904732154j),(0.014989288092683666-0.025202526563430507j)
Bus 05,(0.056048694147346395-0.02765030496689594j),(0.0858897845410802-0.028036398861179486j),(0.15382319433345926-0.009633109868271442j),(0.41258963199440757+0.2551002928867734j),(0.6050973844576273+0.998426811690526j),(0.5652444643797114+0.797871928171183j),(0.5601357624188426+0.36976911917459043j),(0.5482900696230613+0.30886339063336765j),(0.24603690566664005+0.10967450547554003j),(0.4343834490684244+0.5480735520763763j),(0.4389575465484876+0.5625185979972435j),(0.4320205495605673+0.544798423240358j),(0.42976424589704915+0.5335887480772102j),(0.35995251088657815+0.3328346491272519j),(0.1212879248839017+0.03244139032003599j),(0.04759522450252271-0.01939553840152179j),(0.057210716500016266-0.02592274745339558j),(0.08444993545986582-0.03078479415151239j),(0.005879185449801826-0.01619804985208945j),(0.004398756594049426-0.016273252393118946j),(0.018281921152586405-0.022184142170420782j),(0.011641278157665802-0.022358359707700757j),(0.00708580681471161-0.02247324511195401j),(0.032742290141893886-0.03156447878360702j),(0.05342643446623727-0.03859436000906738j),(0.01412585527324843-0.026507747025480435j),(0.018425706661007804-0.028354817877503942j),(-0.003894378868862609-0.009330079838294439j),(-0.004808458360111272-0.007980485693551793j),(0.08588978454108025-0.028036398861179493j),(0.5660708497081726+0.7963195207699517j),(0.43438344906842435+0.5480735520763762j),(0.00587918544980182-0.01619804985208944j),(0.004398756594049427-0.016273252393118946j),(0.011641278157665805-0.02235835970770076j),(0.007085806814711605-0.02247324511195401j),(0.05342643446623727-0.03859436000906739j),(-0.004808458360111273-0.007980485693551797j),(0.03786558914965937-0.02740584867717867j)
Bus 06,(0.05258257391602432-0.028148024773874666j),(0.07833493210130979-0.02943006900829776j),(0.14102905622191378-0.014898088595827277j),(0.3847280890637264+0.21789746305262578j),(0.5652444643797115+0.7978719281711835j),(0.6059993476403814+1.0317424551577385j),(0.5800447807572007+0.43306123838391686j),(0.5475138116918858+0.2980343291507327j),(0.2451411070042116+0.10528742716444973j),(0.4541201189923131+0.6877401357967418j),(0.45926571019087914+0.7077474927059555j),(0.45167980528623825+0.6836541345278795j),(0.44892562425590227+0.667681503449046j),(0.35976613594090295+0.3819883452730392j),(0.12606960333686668+0.04440204243008023j),(0.04991821191093399-0.0162979771344016j),(0.05562213947304085-0.024618590727242075j),(0.07886259257803585-0.03111528414693237j),(0.007171895336060729-0.016079212813618033j),(0.00566865248841402-0.016263731012856057j),(0.02024787696979093-0.021275927955179547j),(0.013493013088264498-0.02193737671176924j),(0.008858849175218874-0.022386413574792933j),(0.03566815492351246-0.02978181914518041j),(0.04800133875231468-0.037970354769225986j),(0.012825273070897394-0.025393203765082938j),(0.017671535144930955-0.027087642083535878j),(-0.0038812609839024037-0.008753703577812135j),(-0.004718773226358739-0.007456808118258055j),(0.07833493210130982-0.029430069008297775j),(0.6071687705261373+1.0299358196189872j),(0.454120118992313+0.6877401357967416j),(0.007171895336060724-0.016079212813618023j),(0.005668652488414022-0.016263731012856057j),(0.013493013088264501-0.021937376711769246j),(0.008858849175218867-0.02238641357479293j),(0.04800133875231468-0.03797035476922599j),(-0.00471877322635874-0.007456808118258057j),(0.0368888795578324-0.027357219566972162j)
Bus 07,(0.04557602761237678-0.03518081872584703j),(0.04497857997562848-0.03970552932027125j),(0.08429447976246263-0.04516221515685136j),(0.2916447048154295+0.03980255733940047j),(0.5601357624188428+0.36976911917459054j),(0.5800447807572007+0.4330612383839168j),(0.8222288133654588+0.8331841514806105j),(0.709223950935057+0.3859501379493524j),(0.3164405248351859+0.13813499886170572j),(0.4196680984858898+0.278414879102297j),(0.4268959628826365+0.28822032532694253j),(0.41731972551430263+0.2766992235975136j),(0.4124004817756586+0.2685922680867882j),(0.30234971066242033+0.13209813682256769j),(0.08387274193481296-0.005756891678615074j),(0.0250242196570283-0.02231818301751401j),(0.02740446114508468-0.02917643655286776j),(0.04075585216287312-0.039200427976468485j),(7.681453621130683e-05-0.011242019355566272j),(-0.0008497302712535655-0.010964937736863379j),(0.006394312493526891-0.01763073888235426j),(0.0022738059798906238-0.016287579224156436j),(-0.0005518448133863311-0.01536332878598387j),(0.01323550307665627-0.02655550381921586j),(0.02245124266597108-0.03753820909853631j),(0.0017823813848568872-0.01952056847452084j),(0.003858543772023451-0.021358772232217115j),(-0.0047052582557983195-0.004625211395562846j),(-0.004913218827855479-0.003581998346840901j),(0.0449785799756285-0.03970552932027127j),(0.5802728254286684+0.4317794199064982j),(0.41966809848588976+0.27841487910229695j),(7.681453621130596e-05-0.011242019355566266j),(-0.0008497302712535642-0.010964937736863379j),(0.0022738059798906238-0.01628757922415644j),(-0.000551844813386335-0.015363328785983864j),(0.02245124266597108-0.03753820909853631j),(-0.004913218827855479-0.003581998346840901j),(0.04591888509716143-0.032406079644704364j)
Bus 08,(0.054243006296232826-0.03368688525135486j),(0.04129857584931144-0.040467766505769893j),(0.07449412016561319-0.04875515480318344j),(0.2705124362211752+0.013059082334171884j),(0.5482900696230611+0.30886339063336765j),(0.5475138116918855+0.2980343291507327j),(0.709223950935057+0.3859501379493524j),(0.7946019971253975+0.6144278259227867j),(0.3608554084563788+0.23299860341595452j),(0.3952085839628588+0.18864981243994366j),(0.4023606997326645+0.19590511365856947j),(0.392977892119462+0.1874583849639152j),(0.3880201531105426+0.18138456936516462j),(0.28199375665646176+0.0821130286760847j),(0.07348885466666473-0.014882494833545288j),(0.01985395846560568-0.022919932262131317j),(0.02220235065284677-0.029358493251458874j),(0.034118578105568946-0.039646160870368055j),(-0.0012354701477371053-0.010091528193591586j),(-0.0020343106445176434-0.00973551937943532j),(0.0036892408931070092-0.016554362890525892j),(0.0001495283918193993-0.014871640496430978j),(-0.0022774727091544357-0.013714861174991912j),(0.00878938913958114-0.025352459221425927j),(0.019673547663932048-0.0371607849551808j),(0.00033045853720618454-0.018459595572090166j),(0.0016226299035495464-0.02016833500503705j),(-0.004738354567655636-0.0040208290903058315j),(-0.004861887603601205-0.003026557246352456j),(0.04129857584931145-0.04046776650576991j),(0.5475510641443703+0.2969137591627592j),(0.39520858396285874+0.18864981243994364j),(-0.0012354701477371053-0.01009152819359158j),(-0.002034310644517642-0.009735519379435321j),(0.00014952839181939844-0.014871640496430982j),(-0.0022774727091544383-0.013714861174991905j),(0.019673547663932044-0.037160784955180805j),(-0.004861887603601206-0.0030265572463524563j),(0.062093739834286475-0.029535529267553637j)
Bus 09,(0.33939477702303944+0.08361061139661818j),(0.08914211929894138-0.020134700021917265j),(0.054500348598731395-0.036961218786669435j),(0.11918785236382667-0.009623440692154291j),(0.24603690566664005+0.10967450547554008j),(0.24514110700421157+0.10528742716444972j),(0.31644052483518587+0.13813499886170574j),(0.36085540845637887+0.23299860341595463j),(0.9629998433657007+3.0947942289208563j),(0.17650051322606625+0.06366645238463607j),(0.17978669382257206+0.0665424437523453j),(0.17549891283357422+0.06325311098096088j),(0.1731984278868119+0.06078776277480398j),(0.12484762032499129+0.021286236770796958j),(0.03048314410852876-0.011530981370587248j),(0.0077227497666295004-0.013739431623885856j),(0.013350448468203463-0.020768229889789293j),(0.02329743659382578-0.02881602112812596j),(-0.0016802854747053-0.005010170582225122j),(-0.002049992547970291-0.004745673187240471j),(0.00015431970216636844-0.008814175688298549j),(-0.0014729151672223397-0.00758858790855479j),(-0.0025883126988622347-0.006746725714119784j),(0.00183501654985708-0.013825628530837313j),(0.056478467498505124-0.03227668683289474j),(0.009465718475717498-0.018442703343659647j),(0.003300957285825546-0.01745031438130548j),(-0.0027867335278028526-0.006396997601452528j),(-0.0034031501724797178-0.005455946006083442j),(0.08914211929894142-0.020134700021917275j),(0.24511253305304354+0.10480842640048382j),(0.1765005132260662+0.06366645238463606j),(-0.0016802854747052995-0.005010170582225119j),(-0.002049992547970291-0.004745673187240472j),(-0.0014729151672223395-0.00758858790855479j),(-0.0025883126988622356-0.0067467257141197836j),(0.05647846749850513-0.03227668683289475j),(-0.0034031501724797186-0.0054559460060834425j),(0.4914640111452068+0.14680275850538757j)
Bus 10,(0.048743362924920874-0.02280731285887549j),(0.08628940706511357-0.02357050836050659j),(0.1543316982837403-0.0018313797283437657j),(0.3818994144055724+0.2713810480258001j),(0.43438344906842447+0.5480735520763763j),(0.4541201189923131+0.6877401357967418j),(0.4196680984858898+0.27841487910229706j),(0.3952085839628589+0.18864981243994375j),(0.17650051322606627+0.0636664523846361j),(0.6170254546933808+1.9369952000064452j),(0.542341351423002+1.5059522257393432j),(0.5381194898713928+1.5050225649957678j),(0.5392788807124956+1.5217223387371481j),(0.4108413844823776+0.7993725384183366j),(0.1832633883991659+0.1359294446880587j),(0.08250450402407528+0.0006906674217392406j),(0.07841203731417605-0.015230855492210371j),(0.09804957131335044-0.023680032216361165j),(0.018724510368196286-0.02036295778791696j),(0.01657771859785818-0.0213896409281327j),(0.04080029227413627-0.021563534887255792j),(0.031069754015950135-0.025927191911810653j),(0.024391758083393035-0.028913798383061746j),(0.06802297727157057-0.02652063056835272j),(0.0553769881879198-0.036107881243782336j),(0.01957909964922791-0.027397674165587926j),(0.02902308763720724-0.028356599850953172j),(-0.0029638253418529104-0.010940362120585176j),(-0.004177282536003497-0.009573968822165352j),(0.08628940706511361-0.023570508360506604j),(0.45485914843336944+0.6864552193284958j),(0.6170254546933807+1.9369952000064448j),(0.018724510368196282-0.020362957787916948j),(0.016577718597858185-0.0213896409281327j),(0.031069754015950145-0.02592719191181066j),(0.024391758083393018-0.028913798383061743j),(0.0553769881879198-0.03610788124378234j),(-0.004177282536003498-0.009573968822165355j),(0.025874959669085772-0.022338757885743483j)
