Nodo;Corriente Cortocircuito Ikss [kA];Potencia Cortocircuito Skss [MVA]
Bus 01;10,1811;6083,7651
Bus 02;16,5789;9906,8223
Bus 03;13,7383;8209,4533
Bus 04;13,0287;7785,3769
Bus 05;13,6736;8170,7370
Bus 06;14,2576;8519,7486
Bus 07;10,9992;6572,6388
Bus 08;11,3874;6804,6555
Bus 09;9,9780;5962,4188
Bus 10;13,3308;7965,9090
Bus 11;12,8532;7680,5247
Bus 12;13,4972;3226,1499
Bus 13;12,3161;7359,5958
Bus 14;12,6320;7548,3347
Bus 15;11,8362;7072,8325
Bus 16;16,7044;9981,8402
Bus 17;13,9212;8318,7267
Bus 18;11,9004;7111,1895
Bus 19;13,2914;7942,4060
Bus 20;14,3525;5717,6461
Bus 21;11,2096;6698,3609
Bus 22;12,7038;7591,2366
Bus 23;11,5343;6892,4182
Bus 24;12,2472;7318,3970
Bus 25;13,3683;7988,3120
Bus 26;9,8349;5876,9300
Bus 27;9,3207;5569,6396
Bus 28;6,4337;3844,4918
Bus 29;8,5214;5092,0365
Bus 30;306,7569;8766,7554
Bus 31;225,8891;6455,6469
Bus 32;249,2496;7123,2651
Bus 33;259,6792;7421,3306
Bus 34;194,3908;5555,4622
Bus 35;256,7452;7337,4803
Bus 36;212,8109;6081,8882
Bus 37;227,1118;6490,5906
Bus 38;245,7603;7023,5431
Bus 39;96,6976;57782,3789
PV1 LV;1399,3305;1163,3815
PV2 LV;1385,5039;1151,8863
