Nodo (Terminal);Tensión m:u [p.u.]
Bus 01;1.0474
Bus 02;1.0487
Bus 03;1.0302
Bus 04;1.0039
Bus 05;1.0054
Bus 06;1.0077
Bus 07;0.9970
Bus 08;0.9961
Bus 09;1.0282
Bus 10;1.0172
Bus 11;1.0127
Bus 12;1.0002
Bus 13;1.0143
Bus 14;1.0118
Bus 15;1.0154
Bus 16;1.0318
Bus 17;1.0336
Bus 18;1.0310
Bus 19;1.0499
Bus 20;0.9912
Bus 21;1.0318
Bus 22;1.0498
Bus 23;1.0448
Bus 24;1.0374
Bus 25;1.0576
Bus 26;1.0521
Bus 27;1.0378
Bus 28;1.0501
Bus 29;1.0499
Bus 30;1.0475
Bus 31;0.9820
Bus 32;0.9831
Bus 33;0.9972
Bus 34;1.0123
Bus 35;1.0493
Bus 36;1.0635
Bus 37;1.0278
Bus 38;1.0265
Bus 39;1.0300
PV1 LV;1.0041
PV2 LV;1.0375
