Bus,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,PV1 LV,PV2 LV
Bus 1,0.2475+j-7.0731,0.0000+j0.0000,0.0000+j0.0000,0.0000+j6.9444,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 2,0.0000+j0.0000,0.1632+j-8.1098,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j8.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 3,0.0000+j0.0000,0.0000+j0.0000,-0.5253+j-11.4534,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j11.3766,0.0000+j0.0000,0.0000+j0.0000
Bus 4,0.0000+j6.9444,0.0000+j0.0000,0.0000+j0.0000,0.7170+j-24.9153,-0.3585+j2.7354,-0.3585+j2.7354,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j12.5000
Bus 5,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.3585+j2.7354,0.8420+j-5.5209,0.0000+j0.0000,-0.3585+j2.7354,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 6,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.3585+j2.7354,0.0000+j0.0000,0.8070+j-5.5009,0.0000+j0.0000,0.0000+j0.0000,-0.3585+j2.7354,0.0000+j0.0000,0.0000+j0.0000
Bus 7,0.0000+j0.0000,0.0000+j8.0000,0.0000+j0.0000,0.0000+j0.0000,-0.3585+j2.7354,0.0000+j0.0000,0.7170+j-25.9709,-0.3585+j2.7354,0.0000+j0.0000,0.0000+j12.5000,0.0000+j0.0000
Bus 8,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.3585+j2.7354,0.8170+j-5.5059,-0.3585+j2.7354,0.0000+j0.0000,0.0000+j0.0000
Bus 9,0.0000+j0.0000,0.0000+j0.0000,0.0000+j11.3766,0.0000+j0.0000,0.0000+j0.0000,-0.3585+j2.7354,0.0000+j0.0000,-0.3585+j2.7354,0.7170+j-16.8474,0.0000+j0.0000,0.0000+j0.0000
PV1 LV,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j12.5000,0.0000+j0.0000,0.0000+j0.0000,300.0000+j-80.9000,0.0000+j0.0000
PV2 LV,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j12.5000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,130.0000+j-42.1400
