Bus,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,PV1 LV,PV2 LV
Bus 1,(0.016735204085057007+0.20789437926107668j),(0.00056286207682983+0.009347215974848982j),(-0.0026783394680825025+0.03723983553200151j),(0.009635953163253878+0.06834279375649055j),(0.005755037307315787+0.03833442571228444j),(0.005103044359892443+0.052504641235376105j),(0.00037990415294739994+0.009486988900471111j),(0.00010086868636136038+0.023346967049893013j),(-0.0009769182056832203+0.03761489935523879j),(0.00037247353277130825+8.461435629785445e-05j),(0.00621836307080006+0.0010891723481757j)
Bus 2,(0.0005628620768298298+0.009347215974848985j),(0.00910021197318672+0.19068638549395722j),(-0.0047183612260598045+0.03688641717243355j),(0.00024015664446891703+0.009540507700552923j),(0.003564001487028226+0.03847928917067522j),(-0.0010355151160264524+0.02328758791273407j),(0.005335110118441982+0.06848920045911477j),(0.002025369983372425+0.05243231794371487j),(-0.003047030178249569+0.03735329057845045j),(0.002716144263259256+0.0005101573147238302j),(0.0008369036185173497+0.000248193541757382j)
Bus 3,(-0.0026783394680825016+0.037239835532001525j),(-0.004718361226059805+0.036886417172433544j),(-0.060541985934553+0.4632134953225266j),(-0.004055213148128666+0.03783454174342629j),(-0.0039563112367762545+0.03720519530060851j),(-0.018449425509252826+0.20825282721745733j),(-0.005535603644205121+0.03729642867911357j),(-0.018823696751508814+0.20778902207296943j),(-0.039562394090491546+0.3812362351263511j),(0.0013906882033479944+0.000605672404011389j),(0.0031776476312287893+0.0014199710425506888j)
Bus 4,(0.009635953163253878+0.06834279375649054j),(0.00024015664446891698+0.009540507700552921j),(-0.0040552131481286675+0.03783454174342628j),(0.007378782740665803+0.06995281275948081j),(0.004495447268962746+0.03924998534633945j),(0.003326341275876915+0.053659579143052256j),(4.882643732297316e-05+0.009676350364290176j),(-0.000729353153526004+0.0237832494730247j),(-0.002335626944162143+0.03827719563585521j),(0.00037636087948001573+9.945754894465368e-05j),(0.006294789136556421+0.0013309817688935772j)
Bus 5,(0.005755037307315787+0.038334425712284445j),(0.003564001487028226+0.03847928917067522j),(-0.0039563112367762545+0.03720519530060849j),(0.0044954472689627475+0.039249985346339465j),(0.031426918119291165+0.21562211736129294j),(0.0016920982976875898+0.03813126464922023j),(0.0028279399083559133+0.03908012304487811j),(0.0009250991044538991+0.03801441151103284j),(-0.0022651166453846946+0.03763903399510115j),(0.001547573770673098+0.0002994982306433491j),(0.003541978137112292+0.0007158912910452131j)
Bus 6,(0.0051030443598924415+0.052504641235376105j),(-0.0010355151160264518+0.023287587912734074j),(-0.01844942550925284+0.2082528272174573j),(0.003326341275876915+0.053659579143052256j),(0.0016920982976875902+0.038131264649220224j),(0.025324586678898513+0.3090685239858964j),(-0.0015247943544136906+0.023586085548469405j),(-0.003223229420561243+0.11609785811191733j),(-0.008958163246518824+0.21051055802897486j),(0.0009001609979434363+0.00030627651387931694j),(0.004762798034654901+0.0012240387940915085j)
Bus 7,(0.0003799041529473999+0.009486988900471114j),(0.005335110118441982+0.06848920045911477j),(-0.00553560364420512+0.03729642867911358j),(4.882643732297327e-05+0.009676350364290178j),(0.0028279399083559137+0.03908012304487811j),(-0.0015247943544136903+0.023586085548469405j),(0.004011154815451656+0.06953805098183234j),(0.0009835489003424279+0.05319326905515315j),(-0.003850857795246433+0.03780380507600339j),(0.002743016134052123+0.0005725685668389036j),(0.0008433269724296498+0.00026867283193575604j)
Bus 8,(0.00010086868636136103+0.023346967049893017j),(0.0020253699833724277+0.05243231794371488j),(-0.018823696751508818+0.20778902207296945j),(-0.0007293531535260021+0.023783249473024702j),(0.0009250991044539008+0.03801441151103284j),(-0.0032232294205612466+0.11609785811191732j),(0.000983548900342428+0.053193269055153154j),(0.02443784792920261+0.30823990314727123j),(-0.009356376692403731+0.21006090337307412j),(0.002076438627641358+0.0005189650790730183j),(0.0020488351458187756+0.0007342679035682943j)
Bus 9,(-0.0009769182056832198+0.037614899355238825j),(-0.003047030178249568+0.037353290578450465j),(-0.039562394090491546+0.3812362351263512j),(-0.002335626944162142+0.038277195635855236j),(-0.0022651166453846933+0.03763903399510117j),(-0.00895816324651882+0.21051055802897495j),(-0.003850857795246433+0.0378038050760034j),(-0.009356376692403728+0.21006090337307415j),(-0.022226370810625635+0.3856365892280545j),(0.0014280424715691067+0.0005455478613017371j),(0.0032646643257359573+0.001282833011450308j)
PV1 LV,(0.0003724735327713083+8.461435629785445e-05j),(0.002716144263259256+0.0005101573147238301j),(0.001390688203347994+0.000605672404011389j),(0.0003763608794800158+9.945754894465368e-05j),(0.001547573770673098+0.00029949823064334897j),(0.0009001609979434362+0.000306276513879317j),(0.002743016134052123+0.0005725685668389034j),(0.002076438627641357+0.0005189650790730181j),(0.0014280424715691065+0.0005455478613017369j),(0.003158336602363256+0.0007374057648517861j),(1.9269161342060417e-05-2.9942373342659782e-05j)
PV2 LV,(0.006218363070800058+0.0010891723481756997j),(0.0008369036185173495+0.0002481935417573819j),(0.003177647631228789+0.0014199710425506881j),(0.00629478913655642+0.0013309817688935772j),(0.0035419781371122915+0.0007158912910452126j),(0.004762798034654899+0.001224038794091508j),(0.0008433269724296495+0.0002686728319357559j),(0.0020488351458187743+0.0007342679035682938j),(0.0032646643257359565+0.0012828330114503074j),(1.9269161342060414e-05-2.9942373342659775e-05j),(0.00725424204257225+0.0017462222728233797j)
