Bus_i,Bus_j,|Zij/Zjj|
3,9,0.992251507026284
2,7,0.9862611436027716
1,4,0.9812037812539787
7,10,0.8639827982855602
4,11,0.8622933053946286
2,10,0.8521126626902393
1,11,0.8460854518032015
3,8,0.6747577473958007
3,6,0.6741875223151825
8,10,0.6599213388433199
6,11,0.6590633825909961
5,7,0.5625306397978285
6,9,0.5454668796525414
8,9,0.544348757993073
3,7,0.5413211965192057
3,4,0.540954762308076
5,10,0.4860167962938943
5,11,0.48430236826918815
9,10,0.47134441099675967
9,11,0.47010426969020486
3,10,0.46769220213995105
3,11,0.46646167005959654
6,8,0.37561421886171875
6,7,0.3393264276992733
6,10,0.293172196535861
8,11,0.29169057310964214
4,5,0.18130577809000514
1,5,0.17789791502510782
2,5,0.177347092596725
4,6,0.17336933686592418
7,8,0.17206059270031662
3,5,0.1717067538972441
1,6,0.17011064888633962
2,8,0.169696676925585
4,7,0.1389227213450996
1,7,0.1363114994859045
2,4,0.13567539858669606
5,6,0.1230837111422509
5,8,0.12297797530318191
4,10,0.12002684153318424
7,11,0.11862171461068512
1,10,0.11777079076433249
2,11,0.11699198790805587
4,9,0.0992770224283868
7,9,0.09837363708557405
5,9,0.09761692119571193
1,9,0.09741098979836915
2,9,0.0970220958123823
1,3,0.07992245253140753
2,3,0.07960337804916359
4,8,0.0769530464199738
1,8,0.07550662012629124
2,6,0.07517018662485488
1,2,0.04905175689339055
10,11,0.004772102289342465
