Nodo (Terminal);Tensión m:u [p.u.]
Bus 01;1.0104
Bus 02;1.0017
Bus 03;0.9926
Bus 04;0.9875
Bus 05;0.9979
Bus 06;1.0023
Bus 07;0.9893
Bus 08;0.9872
Bus 09;1.0066
Bus 10;1.0147
Bus 11;1.0089
Bus 12;0.9957
Bus 13;1.0094
Bus 14;1.0006
Bus 15;1.0032
Bus 16;1.0038
Bus 17;0.9902
Bus 18;0.9888
Bus 19;1.0382
Bus 20;0.9794
Bus 21;0.9944
Bus 22;1.0040
Bus 23;0.9968
Bus 24;1.0064
Bus 25;0.9886
Bus 26;0.9552
Bus 27;0.9647
Bus 28;0.9128
Bus 29;0.9016
Bus 30;1.0000
Bus 31;1.0000
Bus 32;1.0000
Bus 33;1.0000
Bus 34;1.0000
Bus 35;1.0000
Bus 36;1.0000
Bus 39;1.0000
PV1 LV;0.8911
PV2 LV;0.9501
