name,voltage_kv,vm_pu,va_deg
Bus 01,345.000000,1.010430,-2.787993
Bus 02,345.000000,1.001654,0.073695
Bus 03,345.000000,0.992602,-0.992708
Bus 04,345.000000,0.987498,-2.476608
Bus 05,345.000000,0.997896,-2.816587
Bus 06,345.000000,1.002305,-2.393441
Bus 07,345.000000,0.989285,-4.512237
Bus 08,345.000000,0.987155,-4.967957
Bus 09,345.000000,1.006582,-4.707234
Bus 10,345.000000,1.014734,1.393382
Bus 11,345.000000,1.008926,0.132931
Bus 12,138.000000,0.995680,0.581471
Bus 13,345.000000,1.009434,1.136142
Bus 14,345.000000,1.000551,0.641119
Bus 15,345.000000,1.003226,4.740598
Bus 16,345.000000,1.003844,6.523417
Bus 17,345.000000,0.990160,3.790806
Bus 18,345.000000,0.988836,1.497916
Bus 19,345.000000,1.038245,11.813200
Bus 20,230.000000,0.979395,10.800193
Bus 21,345.000000,0.994371,9.123075
Bus 22,345.000000,1.003966,13.982580
Bus 23,345.000000,0.996819,13.773690
Bus 24,345.000000,1.006437,6.656827
Bus 25,345.000000,0.988579,0.671346
Bus 26,345.000000,0.955195,5.306020
Bus 27,345.000000,0.964732,3.240149
Bus 28,345.000000,0.912825,7.921396
Bus 29,345.000000,0.901592,10.987519
Bus 30,16.500000,1.000000,2.727706
Bus 31,16.500000,1.000000,0.000000
Bus 32,16.500000,1.000000,9.272313
Bus 33,16.500000,1.000000,17.034415
Bus 34,16.500000,1.000000,16.119885
Bus 35,16.500000,1.000000,19.427996
Bus 36,16.500000,1.000000,22.550387
Bus 39,345.000000,1.000000,-4.466821
PV1 LV,0.480000,0.891132,13.635609
PV2 LV,0.480000,0.950093,6.585645
