name,voltage_nom,voltage_actual,angle_actual,p_load,q_load,p_gen,q_gen,p_net,q_net
Bus 01,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 02,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 03,345.0,345.0,0.0,322.0,2.4000000953674316,0.0,0.0,-322.0,-2.4000000953674316
Bus 04,345.0,345.0,0.0,500.0,184.0,0.0,0.0,-500.0,-184.0
Bus 05,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 06,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 07,345.0,345.0,0.0,233.8000030517578,84.0,0.0,0.0,-233.8000030517578,-84.0
Bus 08,345.0,345.0,0.0,522.0,176.0,0.0,0.0,-522.0,-176.0
Bus 09,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 10,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 11,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 12,138.0,138.0,0.0,7.5,88.0,0.0,0.0,-7.5,-88.0
Bus 13,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 14,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 15,345.0,345.0,0.0,320.0,153.0,0.0,0.0,-320.0,-153.0
Bus 16,345.0,345.0,0.0,329.0,32.29999923706055,0.0,0.0,-329.0,-32.29999923706055
Bus 17,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 18,345.0,345.0,0.0,158.0,30.0,0.0,0.0,-158.0,-30.0
Bus 19,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 20,230.0,230.0,0.0,628.0,103.0,0.0,0.0,-628.0,-103.0
Bus 21,345.0,345.0,0.0,274.0,115.0,0.0,0.0,-274.0,-115.0
Bus 22,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 23,345.0,345.0,0.0,247.5,84.5999984741211,0.0,0.0,-247.5,-84.5999984741211
Bus 24,345.0,345.0,0.0,308.6000061035156,-92.19999694824219,0.0,0.0,-308.6000061035156,92.19999694824219
Bus 25,345.0,345.0,0.0,224.0,47.20000076293945,0.0,0.0,-224.0,-47.20000076293945
Bus 26,345.0,345.0,0.0,139.0,17.0,0.0,0.0,-139.0,-17.0
Bus 27,345.0,345.0,0.0,281.0,75.5,0.0,0.0,-281.0,-75.5
Bus 28,345.0,345.0,0.0,206.0,27.600000381469727,0.0,0.0,-206.0,-27.600000381469727
Bus 29,345.0,345.0,0.0,283.5,26.899999618530273,0.0,0.0,-283.5,-26.899999618530273
Bus 30,16.5,16.5,0.0,0.0,0.0,250.00000111600121,101.32782319072682,250.00000111600121,101.32782319072682
Bus 31,16.5,16.5,0.0,9.199999809265137,4.599999904632568,347.80839984785314,264.31186135055754,338.608400038588,259.71186144592497
Bus 32,16.5,16.5,0.0,0.0,0.0,650.000000164092,291.79969528877047,650.000000164092,291.79969528877047
Bus 33,16.5,16.5,0.0,0.0,0.0,632.0000001377418,197.52873667636652,632.0000001377418,197.52873667636652
Bus 34,16.5,16.5,0.0,0.0,0.0,508.0000000789538,156.8770468764271,508.0000000789538,156.8770468764271
Bus 35,16.5,16.5,0.0,0.0,0.0,650.0000000747125,165.1256911789677,650.0000000747125,165.1256911789677
Bus 36,16.5,16.5,0.0,0.0,0.0,560.0000000201685,39.107324965375085,560.0000000201685,39.107324965375085
Bus 39,345.0,345.0,0.0,1104.0,250.0,1000.0000005149435,75.77876698568008,-103.99999948505649,-174.22123301431992
PV1 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,710000.0625,-161881.421875,710000.0625,-161881.421875
PV2 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,180000.015625,-41039.96875,180000.015625,-41039.96875
