name,from_bus,to_bus,r_pu,x_pu,s_nom,tap,voltage_hv,voltage_lv
TR PV1 HV/LV,Bus 29,PV1 LV,0.0,0.07999999821186066,1500.0,3,315.5879811343939,0.43403554407332023
TR PV2 HV/LV,Bus 26,PV2 LV,0.0,0.07999999821186066,1500.0,3,333.9106947019254,0.4634587561211928
Trf 02 - 30,Bus 02,Bus 30,0.0,0.1810000091791153,1000.0,1,347.5080013854148,16.500000001349107
Trf 06 - 31,Bus 06,Bus 31,0.0,0.17499999701976776,700.0,2,346.5934567303545,16.5
Trf 10 - 32,Bus 10,Bus 32,0.0,0.1599999964237213,800.0,2,350.9034362150611,16.500000000228816
Trf 11 - 12,Bus 11,Bus 12,0.004799999762326479,0.1304999440908432,300.0,1,348.93457179350827,137.77184584097432
Trf 13 - 12,Bus 13,Bus 12,0.004799999762326479,0.1304999440908432,300.0,1,349.18025751080006,137.77184584097432
Trf 19 - 20,Bus 19,Bus 20,0.006999999284744263,0.1379999816417694,1000.0,2,358.648950348482,225.4260915204362
Trf 19 - 33,Bus 19,Bus 33,0.00559999980032444,0.11359994858503342,800.0,2,358.648950348482,16.500000000118504
Trf 20 - 34,Bus 20,Bus 34,0.005400000140070915,0.10799998044967651,600.0,1,225.4260915204362,16.500000000152824
Trf 22 - 35,Bus 22,Bus 35,0.0,0.1143999993801117,800.0,1,346.83588461468645,16.50000000003679
Trf 23 - 36,Bus 23,Bus 36,0.0034999996423721313,0.19040003418922424,700.0,0,344.3867403816389,16.500000000019963
