Nombre;Nodo Conectado;P [MW];Q [Mvar]
Load 03;Bus 03;0.3220;0.0024
Load 04;Bus 04;0.5000;0.1840
Load 07;Bus 07;0.2338;0.0840
Load 08;Bus 08;0.5220;0.1760
Load 12;Bus 12;0.0075;0.0880
Load 15;Bus 15;0.3200;0.1530
Load 16;Bus 16;0.3290;0.0323
Load 18;Bus 18;0.1580;0.0300
Load 20;Bus 20;0.6280;0.1030
Load 21;Bus 21;0.2740;0.1150
Load 23;Bus 23;0.2475;0.0846
Load 24;Bus 24;0.3086;-0.0922
Load 25;Bus 25;0.2240;0.0472
Load 26;Bus 26;0.1390;0.0170
Load 27;Bus 27;0.2810;0.0755
Load 28;Bus 28;0.2060;0.0276
Load 29;Bus 29;0.2835;0.0269
Load 31;Bus 31;0.0092;0.0046
Load 39;Bus 39;1.1040;0.2500
