Nodo;Corriente Cortocircuito Ikss [kA];Potencia Cortocircuito Skss [MVA]
Bus 01;10,3629;6192,4246
Bus 02;14,5521;8695,7382
Bus 03;13,3816;7996,2837
Bus 04;13,2687;7928,8073
Bus 05;13,9708;8348,3747
Bus 06;14,5575;8698,9639
Bus 07;11,2819;6741,5832
Bus 08;11,6715;6974,4129
Bus 09;10,1388;6058,5406
Bus 10;13,6398;8150,5833
Bus 11;13,1579;7862,5867
Bus 12;13,9944;3344,9797
Bus 13;12,6277;7545,7901
Bus 14;12,9383;7731,3583
Bus 15;12,1780;7277,0258
Bus 16;16,8353;10060,0365
Bus 17;13,7443;8213,0224
Bus 18;11,9097;7116,7420
Bus 19;13,6563;8160,4201
Bus 20;14,7534;5877,3363
Bus 21;11,5875;6924,2229
Bus 22;13,0706;7810,4534
Bus 23;11,8879;7103,6992
Bus 24;12,5984;7528,2529
Bus 25;10,1748;6080,0218
Bus 26;8,4291;5036,8843
Bus 27;8,9885;5371,1558
Bus 28;4,8192;2879,7478
Bus 29;4,8732;2912,0036
Bus 30;304,4908;8701,9933
Bus 31;230,0922;6575,7678
Bus 32;253,9902;7258,7442
Bus 33;265,5588;7589,3606
Bus 34;198,3121;5667,5292
Bus 35;262,7620;7509,4313
Bus 36;217,2345;6208,3090
Bus 39;96,9140;57911,6709
PV1 LV;3228,4375;2684,0725
PV2 LV;5032,3507;4183,8177
