name,bus,pl_mw,ql_mvar
Load 03,Bus 03,322.000000,2.400000
Load 04,Bus 04,500.000000,184.000000
Load 07,Bus 07,233.800003,84.000000
Load 08,Bus 08,522.000000,176.000000
Load 12,Bus 12,7.500000,88.000000
Load 15,Bus 15,0.000000,0.000000
Load 16,Bus 16,0.000000,0.000000
Load 18,Bus 18,158.000000,30.000000
Load 20,Bus 20,628.000000,103.000000
Load 21,Bus 21,274.000000,115.000000
Load 23,Bus 23,247.500000,84.599998
Load 24,Bus 24,308.600006,-92.199997
Load 25,Bus 25,224.000000,47.200001
Load 26,Bus 26,139.000000,17.000000
Load 27,Bus 27,281.000000,75.500000
Load 28,Bus 28,206.000000,27.600000
Load 29,Bus 29,283.500000,26.900000
Load 31,Bus 31,9.200000,4.600000
Load 39,Bus 39,1104.000000,250.000000
