name,hv_node,lv_node,rated_power_mva,hv_voltage_kv,lv_voltage_kv,tap_pos,r_pu,x_pu,status
TR PV1 HV/LV,Bus 29,PV1 LV,1500.000000,345.000000,0.480000,3,0.000000,0.080000,InService
TR PV2 HV/LV,Bus 26,PV2 LV,1500.000000,345.000000,0.480000,3,0.000000,0.080000,InService
Trf 02 - 30,Bus 02,Bus 30,1000.000000,345.000000,16.500000,1,0.000000,0.181000,InService
Trf 06 - 31,Bus 06,Bus 31,700.000000,345.000000,16.500000,2,0.000000,0.175000,InService
Trf 10 - 32,Bus 10,Bus 32,800.000000,345.000000,16.500000,2,0.000000,0.160000,InService
Trf 11 - 12,Bus 11,Bus 12,300.000000,345.000000,138.000000,1,0.004800,0.130500,InService
Trf 13 - 12,Bus 13,Bus 12,300.000000,345.000000,138.000000,1,0.004800,0.130500,InService
Trf 19 - 20,Bus 19,Bus 20,1000.000000,345.000000,230.000000,2,0.007000,0.138000,InService
Trf 19 - 33,Bus 19,Bus 33,800.000000,345.000000,16.500000,2,0.005600,0.113600,InService
Trf 20 - 34,Bus 20,Bus 34,600.000000,230.000000,16.500000,1,0.005400,0.108000,InService
Trf 22 - 35,Bus 22,Bus 35,800.000000,345.000000,16.500000,1,0.000000,0.114400,InService
Trf 23 - 36,Bus 23,Bus 36,700.000000,345.000000,16.500000,0,0.003500,0.190400,InService
