Nodo;Corriente Cortocircuito Ikss [kA];Potencia Cortocircuito Skss [MVA]
Bus 01;10,1814;6083,9667
Bus 02;13,9562;8339,6525
Bus 03;12,8712;7691,2817
Bus 04;12,9377;7731,0184
Bus 05;13,7166;8196,4492
Bus 06;14,3067;8549,1015
Bus 07;11,0941;6629,3731
Bus 08;11,4807;6860,3685
Bus 09;10,0592;6010,9371
Bus 10;13,4022;8008,5931
Bus 11;12,9288;7725,6785
Bus 12;13,7385;3283,8266
Bus 13;12,3859;7401,3050
Bus 14;12,6362;7550,8386
Bus 15;11,8189;7062,4925
Bus 16;16,2952;9737,3061
Bus 17;13,1002;7828,1186
Bus 18;11,3907;6806,5992
Bus 19;13,4100;8013,2191
Bus 20;14,5408;5792,6304
Bus 21;11,2878;6745,1249
Bus 22;12,8196;7660,4643
Bus 23;11,6600;6967,5145
Bus 24;12,2170;7300,3624
Bus 25;9,5946;5733,3367
Bus 26;7,5755;4526,8026
Bus 27;8,2837;4949,9959
Bus 28;3,9516;2361,3118
Bus 29;3,8944;2327,1098
Bus 30;297,5634;8504,0168
Bus 31;227,8979;6513,0572
Bus 32;251,4273;7185,5002
Bus 33;262,3739;7498,3406
Bus 34;196,4288;5613,7062
Bus 35;259,4670;7415,2651
Bus 36;215,0538;6145,9864
Bus 39;96,7396;57807,4975
PV1 LV;2518,5069;2093,8473
PV2 LV;4535,5928;3770,8209
