Nodo (Terminal);Tensión m:u [p.u.]
Bus 01;1.0248
Bus 02;1.0359
Bus 03;1.0250
Bus 04;1.0053
Bus 05;1.0078
Bus 06;1.0112
Bus 07;0.9978
Bus 08;0.9956
Bus 09;1.0096
Bus 10;1.0247
Bus 11;1.0189
Bus 12;1.0069
Bus 13;1.0212
Bus 14;1.0171
Bus 15;1.0262
Bus 16;1.0279
Bus 17;1.0307
Bus 18;1.0269
Bus 19;1.0471
Bus 20;0.9842
Bus 21;1.0113
Bus 22;1.0131
Bus 23;1.0062
Bus 24;1.0284
Bus 25;1.0304
Bus 26;1.0693
Bus 27;1.0457
Bus 28;1.0912
Bus 29;1.0969
Bus 30;1.0000
Bus 31;1.0000
Bus 32;1.0000
Bus 33;1.0000
Bus 34;1.0000
Bus 35;1.0000
Bus 36;1.0000
Bus 39;1.0000
PV1 LV;1.0993
PV2 LV;1.0728
