name,voltage_kv,vm_pu,va_deg
Bus 01,345.000000,1.024795,-15.386286
Bus 02,345.000000,1.035885,-14.597793
Bus 03,345.000000,1.024959,-14.520201
Bus 04,345.000000,1.005260,-12.937958
Bus 05,345.000000,1.007777,-11.284922
Bus 06,345.000000,1.011200,-10.444784
Bus 07,345.000000,0.997828,-12.873119
Bus 08,345.000000,0.995553,-13.496870
Bus 09,345.000000,1.009564,-14.932141
Bus 10,345.000000,1.024744,-7.932134
Bus 11,345.000000,1.018922,-8.782737
Bus 12,138.000000,1.006904,-8.731998
Bus 13,345.000000,1.021245,-8.577423
Bus 14,345.000000,1.017139,-10.077962
Bus 15,345.000000,1.026197,-8.560962
Bus 16,345.000000,1.027906,-7.899153
Bus 17,345.000000,1.030725,-11.507642
Bus 18,345.000000,1.026888,-13.084706
Bus 19,345.000000,1.047098,-2.706488
Bus 20,230.000000,0.984224,-3.695041
Bus 21,345.000000,1.011347,-5.378014
Bus 22,345.000000,1.013072,-0.617437
Bus 23,345.000000,1.006248,-0.823145
Bus 24,345.000000,1.028378,-7.765987
Bus 25,345.000000,1.030433,-15.990349
Bus 26,345.000000,1.069313,-15.986698
Bus 27,345.000000,1.045727,-15.105906
Bus 28,345.000000,1.091217,-19.797741
Bus 29,345.000000,1.096905,-19.469867
Bus 30,16.500000,1.000000,-12.031543
Bus 31,16.500000,1.000000,0.000000
Bus 32,16.500000,1.000000,-0.130650
Bus 33,16.500000,1.000000,2.494429
Bus 34,16.500000,1.000000,1.612586
Bus 35,16.500000,1.000000,4.778886
Bus 36,16.500000,1.000000,7.880740
Bus 39,345.000000,1.000000,-15.855851
PV1 LV,0.480000,1.099328,-18.902471
PV2 LV,0.480000,1.072819,-15.135099
