name,p,q,s,bus,v_actual
Load 03,322.0,2.4000000953674316,322.0089439758744,Bus 03,353.7711803733759
Load 04,500.0,184.0,532.7813810560575,Bus 04,346.93492758334884
Load 07,233.8000030517578,84.0,248.43196538892082,Bus 07,344.34266309833004
Load 08,522.0,176.0,550.8720359575351,Bus 08,343.5567441289032
Load 12,7.5,88.0,88.3190239982304,Bus 12,138.98722291565358
Load 15,320.0,153.0,,Bus 15,
Load 16,329.0,32.29999923706055,,Bus 16,
Load 18,158.0,30.0,160.82288394379697,Bus 18,354.4738262897108
Load 20,628.0,103.0,636.390603324719,Bus 20,226.38951932591488
Load 21,274.0,115.0,297.15484179127884,Bus 21,349.00935950749215
Load 23,247.5,84.5999984741211,261.559572070726,Bus 23,347.20808601495105
Load 24,308.6000061035156,-92.19999694824219,322.07887730235547,Bus 24,354.9128262889824
Load 25,224.0,47.20000076293945,228.91885040778425,Bus 25,355.7887879243915
Load 26,139.0,17.0,140.03570973148243,Bus 26,369.4748666189211
Load 27,281.0,75.5,290.96606331323244,Bus 27,361.19075407101275
Load 28,206.0,27.600000381469727,207.84070828655567,Bus 28,377.78382426135033
Load 29,283.5,26.899999618530273,284.7733484360447,Bus 29,379.9321976286993
Load 31,9.199999809265137,4.599999904632568,10.285912483250973,Bus 31,16.5
Load 39,1104.0,250.0,1131.9522958146251,Bus 39,345.00000002149415
