Indice,P1_MW,P2_MW,Bus_Critico,U_Critico_pu,Bus_G1,Bus_G2,Anomalia_Detectada
0,1,1183,PV2 LV,0.8951702670126949,Bus 29,Bus 26,NO
57,625.1,380.0,PV1 LV,0.9187501250151622,Bus 29,Bus 26,NO
58,636.3,380.0,PV1 LV,0.9149128181136105,Bus 29,Bus 26,NO
59,647.4,380.0,PV1 LV,0.9109337942656891,Bus 29,Bus 26,NO
60,658.6,380.0,PV1 LV,0.9067300481618473,Bus 29,Bus 26,NO
61,669.7,380.0,PV1 LV,0.9023636599078674,Bus 29,Bus 26,NO
62,680.8,360.0921950326407,PV1 LV,0.9000002737083717,Bus 29,Bus 26,NO
63,692.0,315.3193734596329,PV1 LV,0.9000096291074381,Bus 29,Bus 26,NO
64,703.1,266.6917645487068,PV1 LV,0.9000116492229735,Bus 29,Bus 26,NO
65,714.3,211.84540131967174,PV1 LV,0.9000121539675818,Bus 29,Bus 26,NO
66,725.4,149.23577490754548,PV1 LV,0.9000121179765528,Bus 29,Bus 26,NO
67,736.6,72.27395131929396,PV1 LV,0.9000111304453787,Bus 29,Bus 26,NO
