Indice,P1_MW,P2_MW,Bus_Critico,U_Critico_pu,Bus_G1,Bus_G2,Anomalia_Detectada
1,405.0,0.0,PV1 LV,1.1032,PV1 LV,PV2 LV,NO
2,391.07,5.0,PV1 LV,1.1006,PV1 LV,PV2 LV,NO
3,377.14,22.5,PV1 LV,1.0998,PV1 LV,PV2 LV,NO
4,363.21,43.75,PV1 LV,1.0994,PV1 LV,PV2 LV,NO
5,349.28,70.0,PV1 LV,1.0997,PV1 LV,PV2 LV,NO
6,335.34,93.75,PV1 LV,1.0995,PV1 LV,PV2 LV,NO
7,321.41,121.88,PV1 LV,1.0998,PV1 LV,PV2 LV,NO
8,307.48,145.31,PV1 LV,1.0994,PV1 LV,PV2 LV,NO
9,293.55,174.38,PV1 LV,1.0996,PV1 LV,PV2 LV,NO
10,279.62,203.44,PV1 LV,1.0998,PV1 LV,PV2 LV,NO
11,265.69,232.5,PV1 LV,1.0998,PV1 LV,PV2 LV,NO
12,251.76,261.56,PV1 LV,1.0998,PV1 LV,PV2 LV,NO
13,237.83,290.62,PV1 LV,1.0996,PV1 LV,PV2 LV,NO
14,223.9,319.69,PV1 LV,1.0993,PV1 LV,PV2 LV,NO
15,209.97,354.38,PV1 LV,1.0996,PV1 LV,PV2 LV,NO
16,196.03,387.5,PV1 LV,1.0996,PV1 LV,PV2 LV,NO
17,182.1,400.0,PV1 LV,1.0971,PV1 LV,PV2 LV,NO
18,168.17,400.0,PV1 LV,1.0931,PV1 LV,PV2 LV,NO
19,154.24,400.0,PV1 LV,1.0891,PV1 LV,PV2 LV,NO
20,140.31,400.0,PV1 LV,1.0849,PV1 LV,PV2 LV,NO
21,126.38,400.0,PV1 LV,1.0805,PV1 LV,PV2 LV,NO
