name,from_bus,to_bus,r_pu,x_pu,s_nom,tap,voltage_hv,voltage_lv
TR PV1 HV/LV,Bus 29,PV1 LV,0.0,0.07999999821186066,1500.0,3,375.8460407655591,0.5244715554541602
TR PV2 HV/LV,Bus 26,PV2 LV,0.0,0.07999999821186066,1500.0,3,363.9323715452417,0.5069415849063428
Trf 02 - 30,Bus 02,Bus 30,0.0,0.1810000091791153,1000.0,1,356.04304048913235,16.50000001477247
Trf 06 - 31,Bus 06,Bus 31,0.0,0.17499999701976776,700.0,2,347.38672475752855,16.5
Trf 10 - 32,Bus 10,Bus 32,0.0,0.1599999964237213,800.0,2,352.4097165135117,16.500000003479652
Trf 11 - 12,Bus 11,Bus 12,0.004799999762326479,0.1304999440908432,300.0,1,350.2965269145464,138.44743656762662
Trf 13 - 12,Bus 13,Bus 12,0.004799999762326479,0.1304999440908432,300.0,1,351.0967142504977,138.44743656762662
Trf 19 - 20,Bus 19,Bus 20,0.006999999284744263,0.1379999816417694,1000.0,2,360.7090858839254,226.17527090360483
Trf 19 - 33,Bus 19,Bus 33,0.00559999980032444,0.11359994858503342,800.0,2,360.7090858839254,16.500000009928854
Trf 20 - 34,Bus 20,Bus 34,0.005400000140070915,0.10799998044967651,600.0,1,226.17527090360483,16.50000001025239
Trf 22 - 35,Bus 22,Bus 35,0.0,0.1143999993801117,800.0,1,348.9547644055277,16.50000000746277
Trf 23 - 36,Bus 23,Bus 36,0.0034999996423721313,0.19040003418922424,700.0,0,346.5808366704118,16.50000000711912
