Nodo;Corriente Cortocircuito Ikss [kA];Potencia Cortocircuito Skss [MVA]
Bus 01;10,1383;6058,2237
Bus 02;13,8148;8255,1339
Bus 03;12,7500;7618,8881
Bus 04;12,8591;7684,0723
Bus 05;13,6562;8160,3889
Bus 06;14,2472;8513,5310
Bus 07;11,0495;6602,7396
Bus 08;11,4354;6833,2996
Bus 09;10,0403;5999,6382
Bus 10;13,3458;7974,8911
Bus 11;12,8744;7693,1827
Bus 12;13,6778;3269,3117
Bus 13;12,3285;7367,0108
Bus 14;12,5645;7507,9915
Bus 15;11,7337;7011,5721
Bus 16;16,1670;9660,7045
Bus 17;12,9473;7736,7599
Bus 18;11,2675;6732,9854
Bus 19;13,3515;7978,2802
Bus 20;14,4903;5772,5250
Bus 21;11,2167;6702,6152
Bus 22;12,7600;7624,8637
Bus 23;11,6059;6935,1904
Bus 24;12,1265;7246,2715
Bus 25;9,4569;5651,0495
Bus 26;7,3729;4405,7323
Bus 27;8,1164;4850,0317
Bus 28;3,9272;2346,7503
Bus 29;3,8942;2327,0014
Bus 30;295,9192;8457,0261
Bus 31;227,3771;6498,1726
Bus 32;250,8190;7168,1154
Bus 33;261,6179;7476,7366
Bus 34;195,9818;5600,9311
Bus 35;258,6849;7392,9143
Bus 36;214,5361;6131,1938
Bus 39;96,6983;57782,7715
PV1 LV;2528,7450;2102,3591
PV2 LV;4370,0657;3633,2043
