Nodo (Terminal);Tensión m:u [p.u.]
Bus 01;1.0245
Bus 02;1.0348
Bus 03;1.0235
Bus 04;1.0038
Bus 05;1.0063
Bus 06;1.0098
Bus 07;0.9964
Bus 08;0.9942
Bus 09;1.0089
Bus 10;1.0237
Bus 11;1.0178
Bus 12;1.0057
Bus 13;1.0201
Bus 14;1.0158
Bus 15;1.0250
Bus 16;1.0266
Bus 17;1.0287
Bus 18;1.0251
Bus 19;1.0466
Bus 20;0.9840
Bus 21;1.0104
Bus 22;1.0126
Bus 23;1.0057
Bus 24;1.0272
Bus 25;1.0275
Bus 26;1.0652
Bus 27;1.0424
Bus 28;1.0928
Bus 29;1.1001
Bus 30;1.0000
Bus 31;1.0000
Bus 32;1.0000
Bus 33;1.0000
Bus 34;1.0000
Bus 35;1.0000
Bus 36;1.0000
Bus 39;1.0000
PV1 LV;1.1033
PV2 LV;1.0673
