name,from_bus,to_bus,R1,X1,R0,X0,Z1,phiz1
Line 01 - 02,Bus 01,Bus 02,4.165876,48.919277,0.000000,0.000000,49.096336,85.132538
Line 01 - 39,Bus 01,Bus 39,1.190250,29.756250,0.000000,0.000000,29.780046,87.709389
Line 02 - 03,Bus 02,Bus 03,1.547325,17.972775,0.000000,0.000000,18.039259,85.079384
Line 02 - 25,Bus 02,Bus 25,8.331750,10.236150,0.000000,0.000000,13.198364,50.856014
Line 03 - 04,Bus 03,Bus 04,1.547325,25.352327,0.000000,0.000000,25.399502,86.507408
Line 03 - 18,Bus 03,Bus 18,1.309275,15.830325,0.000000,0.000000,15.884376,85.272011
Line 04 - 05,Bus 04,Bus 05,0.952200,15.235201,0.000000,0.000000,15.264928,86.423668
Line 04 - 14,Bus 04,Bus 14,0.952200,15.354226,0.000000,0.000000,15.383723,86.451317
Line 05 - 06,Bus 05,Bus 06,0.238050,3.094650,0.000000,0.000000,3.103792,85.601295
Line 05 - 08,Bus 05,Bus 08,0.952200,13.330801,0.000000,0.000000,13.364765,85.914383
Line 06 - 07,Bus 06,Bus 07,0.714150,10.950300,0.000000,0.000000,10.973563,86.268600
Line 06 - 11,Bus 06,Bus 11,0.833175,9.760051,0.000000,0.000000,9.795548,85.120728
Line 07 - 08,Bus 07,Bus 08,0.476100,5.475150,0.000000,0.000000,5.495811,85.030258
Line 08 - 09,Bus 08,Bus 09,2.737574,43.206078,0.000000,0.000000,43.292717,86.374535
Line 09 - 39,Bus 09,Bus 39,1.190250,29.756250,0.000000,0.000000,29.780046,87.709389
Line 10 - 11,Bus 10,Bus 11,0.476100,5.118075,0.000000,0.000000,5.140172,84.685455
Line 10 - 13,Bus 10,Bus 13,0.476100,5.118075,0.000000,0.000000,5.140172,84.685455
Line 13 - 14,Bus 13,Bus 14,1.071225,12.021525,0.000000,0.000000,12.069159,84.907883
Line 14 - 15,Bus 14,Bus 15,2.142450,25.828426,0.000000,0.000000,25.917131,85.258209
Line 15 - 16,Bus 15,Bus 16,1.071225,11.188350,0.000000,0.000000,11.239514,84.530907
Line 16 - 17,Bus 16,Bus 17,0.833175,10.593225,0.000000,0.000000,10.625940,85.502846
Line 16 - 19,Bus 16,Bus 19,1.904400,23.209875,0.000000,0.000000,23.287872,85.309319
Line 16 - 21,Bus 16,Bus 21,0.952200,16.068375,0.000000,0.000000,16.096563,86.608658
Line 16 - 24,Bus 16,Bus 24,0.357075,7.022476,0.000000,0.000000,7.031548,87.089165
Line 17 - 18,Bus 17,Bus 18,0.833175,9.760051,0.000000,0.000000,9.795548,85.120728
Line 17 - 27,Bus 17,Bus 27,1.547325,20.591326,0.000000,0.000000,20.649380,85.702614
Line 21 - 22,Bus 21,Bus 22,0.952200,16.663500,0.000000,0.000000,16.690683,86.729515
Line 22 - 23,Bus 22,Bus 23,0.714150,11.426401,0.000000,0.000000,11.448696,86.423668
Line 23 - 24,Bus 23,Bus 24,2.618550,41.658752,0.000000,0.000000,41.740967,86.403282
Line 25 - 26,Bus 25,Bus 26,3.808800,38.445076,0.000000,0.000000,38.633286,84.342102
Line 26 - 27,Bus 26,Bus 27,1.666350,17.496675,0.000000,0.000000,17.575846,84.559669
Line 26 - 28,Bus 26,Bus 28,5.118075,56.417850,0.000000,0.000000,56.649525,84.816467
Line 26 - 29,Bus 26,Bus 29,6.784425,74.390625,0.000000,0.000000,74.699356,84.789040
Line 28 - 29,Bus 28,Bus 29,1.666350,17.972775,0.000000,0.000000,18.049858,84.702950
