name,p,q,s,bus,v_actual
Load 03,322.0,2.4000000953674316,322.0089439758744,Bus 03,353.61098818867094
Load 04,500.0,184.0,532.7813810560574,Bus 04,346.81477815574004
Load 07,233.8000030517578,84.0,248.43196538892084,Bus 07,344.25053800576535
Load 08,522.0,176.0,550.8720359575352,Bus 08,343.46585053435774
Load 12,7.5,88.0,88.31902399823045,Bus 12,138.9528167576594
Load 15,320.0,153.0,,Bus 15,
Load 16,329.0,32.29999923706055,,Bus 16,
Load 18,158.0,30.0,160.822883943797,Bus 18,354.2763677660235
Load 20,628.0,103.0,636.3906033247191,Bus 20,226.37156159299937
Load 21,274.0,115.0,297.1548417912789,Bus 21,348.9147013503811
Load 23,247.5,84.5999984741211,261.5595720707259,Bus 23,347.1555152191866
Load 24,308.6000061035156,-92.19999694824219,322.07887730235547,Bus 24,354.79043160133307
Load 25,224.0,47.20000076293945,228.9188504077842,Bus 25,355.4994649607942
Load 26,139.0,17.0,140.03570973148246,Bus 26,368.9130116732447
Load 27,281.0,75.5,290.9660633132324,Bus 27,360.7759494380833
Load 28,206.0,27.600000381469727,207.84070828655567,Bus 28,376.4698376300376
Load 29,283.5,26.899999618530273,284.7733484360447,Bus 29,378.43236005390645
Load 31,9.199999809265137,4.599999904632568,10.285912483250973,Bus 31,16.5
Load 39,1104.0,250.0,1131.952295814625,Bus 39,345.00000002668725
