name,voltage_kv,vm_pu,va_deg
Bus 01,345.000000,1.024945,-15.214488
Bus 02,345.000000,1.036306,-14.402441
Bus 03,345.000000,1.025424,-14.341966
Bus 04,345.000000,1.005608,-12.799641
Bus 05,345.000000,1.008059,-11.172419
Bus 06,345.000000,1.011468,-10.338118
Bus 07,345.000000,0.998095,-12.760457
Bus 08,345.000000,0.995817,-13.381480
Bus 09,345.000000,1.009684,-14.792174
Bus 10,345.000000,1.024966,-7.811930
Bus 11,345.000000,1.019159,-8.666891
Bus 12,138.000000,1.007154,-8.611532
Bus 13,345.000000,1.021495,-8.452399
Bus 14,345.000000,1.017447,-9.940345
Bus 15,345.000000,1.026555,-8.397137
Bus 16,345.000000,1.028295,-7.724155
Bus 17,345.000000,1.031365,-11.319083
Bus 18,345.000000,1.027460,-12.899469
Bus 19,345.000000,1.047241,-2.533024
Bus 20,230.000000,0.984302,-3.521186
Bus 21,345.000000,1.011621,-5.204248
Bus 22,345.000000,1.013219,-0.445236
Bus 23,345.000000,1.006400,-0.650894
Bus 24,345.000000,1.028733,-7.590994
Bus 25,345.000000,1.031272,-15.787742
Bus 26,345.000000,1.070942,-15.735448
Bus 27,345.000000,1.046930,-14.881047
Bus 28,345.000000,1.095026,-19.230409
Bus 29,345.000000,1.101253,-18.812893
Bus 30,16.500000,1.000000,-11.837235
Bus 31,16.500000,1.000000,0.000000
Bus 32,16.500000,1.000000,-0.012150
Bus 33,16.500000,1.000000,2.667568
Bus 34,16.500000,1.000000,1.786247
Bus 35,16.500000,1.000000,4.950301
Bus 36,16.500000,1.000000,8.051826
Bus 39,345.000000,1.000000,-15.699453
PV1 LV,0.480000,1.103940,-18.184491
PV2 LV,0.480000,1.074234,-14.938570
