Bus,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,PV1 LV,PV2 LV
Bus 1,0.2475+j-7.1199,0.0000+j0.0000,0.0000+j0.0000,0.0000+j6.9444,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 2,0.0000+j0.0000,0.1632+j-8.1152,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j8.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 3,0.0000+j0.0000,0.0000+j0.0000,-0.3587+j-11.4534,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j11.3766,0.0000+j0.0000,0.0000+j0.0000
Bus 4,0.0000+j6.9444,0.0000+j0.0000,0.0000+j0.0000,0.0717+j-19.9915,-0.0358+j0.2735,-0.0358+j0.2735,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j12.5000
Bus 5,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0358+j0.2735,0.1967+j-0.5971,0.0000+j0.0000,-0.0358+j0.2735,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 6,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0358+j0.2735,0.0000+j0.0000,0.1617+j-0.5771,0.0000+j0.0000,0.0000+j0.0000,-0.0358+j0.2735,0.0000+j0.0000,0.0000+j0.0000
Bus 7,0.0000+j0.0000,0.0000+j8.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0358+j0.2735,0.0000+j0.0000,0.0717+j-21.0471,-0.0358+j0.2735,0.0000+j0.0000,0.0000+j12.5000,0.0000+j0.0000
Bus 8,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0358+j0.2735,0.1717+j-0.5821,-0.0358+j0.2735,0.0000+j0.0000,0.0000+j0.0000
Bus 9,0.0000+j0.0000,0.0000+j0.0000,0.0000+j11.3766,0.0000+j0.0000,0.0000+j0.0000,-0.0358+j0.2735,0.0000+j0.0000,-0.0358+j0.2735,0.0717+j-11.9237,0.0000+j0.0000,0.0000+j0.0000
PV1 LV,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j12.5000,0.0000+j0.0000,0.0000+j0.0000,149.6000+j21.6088,0.0000+j0.0000
PV2 LV,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j12.5000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,115.8800+j13.9206
