name,voltage_nom,voltage_actual,angle_actual,p_load,q_load,p_gen,q_gen,p_net,q_net
Bus 1,16.5,16.5,0.0,0.0,0.0,247.5000000002101,198.00000000077895,247.5000000002101,198.00000000077895
Bus 2,18.0,18.0,0.0,0.0,0.0,163.19999694666004,115.20000457760072,163.19999694666004,115.20000457760072
Bus 3,13.800000190734863,13.800000190734863,0.0,0.0,0.0,-540.564812094184,76.80000305168714,-540.564812094184,76.80000305168714
Bus 4,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 5,230.0,230.0,0.0,125.0,50.0,0.0,0.0,-125.0,-50.0
Bus 6,230.0,230.0,0.0,90.0,30.0,0.0,0.0,-90.0,-30.0
Bus 7,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 8,230.0,230.0,0.0,100.0,35.0,0.0,0.0,-100.0,-35.0
Bus 9,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV1 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,250000.015625,56999.9296875,250000.015625,56999.9296875
PV2 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,200000.015625,45599.94921875,200000.015625,45599.94921875
