name,voltage_nom,voltage_actual,angle_actual,p_load,q_load,p_gen,q_gen,p_net,q_net
Bus 1,16.5,16.5,0.0,0.0,0.0,247.4999998249798,98.1185989569566,247.4999998249798,98.1185989569566
Bus 2,18.0,18.0,0.0,0.0,0.0,163.19999675854407,83.51720689552816,163.19999675854407,83.51720689552816
Bus 3,13.800000190734863,13.800000190734863,0.0,0.0,0.0,-442.4845186408176,76.80000312748074,-442.4845186408176,76.80000312748074
Bus 4,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 5,230.0,230.0,0.0,125.0,50.0,0.0,0.0,-125.0,-50.0
Bus 6,230.0,230.0,0.0,90.0,30.0,0.0,0.0,-90.0,-30.0
Bus 7,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 8,230.0,230.0,0.0,100.0,35.0,0.0,0.0,-100.0,-35.0
Bus 9,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV1 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,150000.0,34200.0078125,150000.0,34200.0078125
PV2 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,200000.015625,45599.94921875,200000.015625,45599.94921875
