Generador,Barra Conexión,Barra Cálculo,Tipo,Control,Z_device,K_vtg_normal,λSCR_normal,K_vtg_fault,λSCR_fault
PV1,PV1 LV,Bus 29,ElmPvsys,av_mode=constq,10.332031249999998,0.2374984160860583,0.24592422019490695,0.2374961534616129,0.24697021471455338
PV2,PV2 LV,Bus 26,ElmPvsys,av_mode=constq,20.664062499999996,0.44003583047006833,0.49308150355108205,0.43717678411608585,0.49653614327943174
G 01,Bus 39,Bus 39,ElmSym,Vtheta,4099233.3984375005,0.9999404976171786,16561.434322201414,0.9999404976171765,16561.434321513563
G 02,Bus 31,Bus 31,ElmSym,Vtheta,,,,,
G 03,Bus 32,Bus 32,ElmSym,Vtheta,14423.515625000002,0.9625557971344979,21.670065603247263,0.9625557971345118,21.67006560326641
G 04,Bus 33,Bus 33,ElmSym,Vtheta,14836.796875000002,0.9813696773348047,47.617360513944135,0.9813696773329527,47.61736050997551
G 05,Bus 34,Bus 34,ElmSym,Vtheta,36916.34765625,0.9923770119529032,119.5276520742638,0.9923770119522333,119.52765206627491
G 06,Bus 35,Bus 35,ElmSym,Vtheta,14423.515625000002,0.9565820343476376,20.150476831320972,0.956582034347725,20.15047683145743
G 07,Bus 36,Bus 36,ElmSym,Vtheta,16744.778645833336,0.9651221025231457,26.587178758246623,0.9651221025236235,26.587178758617167
G 10,Bus 30,Bus 30,ElmSym,Vtheta,37505.2734375,0.9707666871882205,26.853423897052217,0.9707666958825455,26.853430420277878
