Bus,SCR,SDSCR_coupled,SDSCR_no_coupling,Strength,SCC (MVA)
BUS 31,39.83861421463864,10121867.238539502,inf,Strong,6600.334
BUS 34,11.198058661417322,759550.388877723,inf,Strong,5688.6138
BUS 36,11.129862857142857,2908759.5495157717,inf,Strong,6232.7232
BUS 30,35.118193135745045,44927.50530347862,inf,Strong,8779.5486
BUS 39,57.952479468190084,8735977.016236061,inf,Strong,57952.4797
BUS 32,11.21144121352086,11911772.27015151,inf,Strong,7287.4368
BUS 26,13.780797559987567,13.74781713037587,13.780797559987567,Strong,5236.7035
BUS 33,12.06489982268212,977532.510459608,inf,Strong,7625.0167
BUS 35,11.609723076923077,3921731.685607535,inf,Strong,7546.32
BUS 29,4.303412697545726,4.300688928301637,4.303412697545726,Strong,2995.1755
