Bus,Bus 01,Bus 02,Bus 03,Bus 04,Bus 05,Bus 06,Bus 07,Bus 08,Bus 09,Bus 10,Bus 11,Bus 12,Bus 13,Bus 14,Bus 15,Bus 16,Bus 17,Bus 18,Bus 19,Bus 20,Bus 21,Bus 22,Bus 23,Bus 24,Bus 25,Bus 26,Bus 27,Bus 28,Bus 29,Bus 30,Bus 31,Bus 32,Bus 33,Bus 34,Bus 35,Bus 36,Bus 39,PV1 LV,PV2 LV
Bus 01,(1.558732422639994+18.78891784831995j),(0.8298409542160944+0.6197876500885179j),(0.1374423298918514-0.06607743797872727j),(0.0015551563552885402-0.00997440266417539j),(0.0005644112283455911-0.0032233625275911574j),(-0.00035819261279790564-0.0015449636082127093j),(0.00015487169542663482-0.0026409120274082697j),(0.0037621297940741106-0.004511937497659394j),(0.17614317233945137+0.01928707397134223j),(-0.0002696588119376181-0.0002499891531850722j),(-0.0001881500750944236-0.0008727141532729022j),(-0.00018337010051394824-0.0008793333102089149j),(-0.000180224754040563-0.0008961815585830264j),(0.00024197017174103122-0.003983571637485347j),(-0.0008038612707827476-0.00046893759968242893j),(-0.0012876513101447607-0.00264565543792181j),(0.005365355079650335-0.01798097883595765j),(0.014601684383654716-0.03969342801955144j),(-7.205780802183491e-05-2.531914542448232e-06j),(-6.775538665102724e-05+7.427451762696076e-06j),(-0.0004735613441920599-0.0001435191483975824j),(-2.757747893618165e-05+2.985421796212933e-05j),(-6.813382621226183e-06+3.889385406261099e-05j),(-0.001262286375708619+0.00022372657303351698j),(0.2527181193785367+0.05139024534777621j),(0.0005026962286530245+0.00010576832728391853j),(-0.0015455330011354617-0.0021743923625373246j),(2.6074061600813055e-05-2.8671882853152984e-05j),(6.450965130855299e-07+1.8777790999085053e-08j),(0.840284893258318+0.5712903140058071j),(-0.0004286091158625945-0.001449955223299729j),(-0.0002786111531600071-0.00021115518020310882j),(-7.007087508123679e-05+2.360022522201558e-06j),(-6.587711407202542e-05+1.0773939917195702e-05j),(-2.4795791417029956e-05+3.111043068955252e-05j),(-2.6554481619390873e-06+3.881162556817242e-05j),(0.293820861078392+0.038734068792599566j),(-1.9716667339629034e-09-1.0942499975022985e-08j),(1.7655482101349421e-06-3.518939780044474e-05j)
Bus 02,(0.8298409542160942+0.6197876500885179j),(2.217646460069363+1.6004852988331253j),(0.3600556052064718-0.18039052164730837j),(0.003886662077695758-0.02603959667578563j),(-0.00024703450945390233-0.005150972793357099j),(-0.0009522393542686863-0.001949055060582814j),(-0.0007233625751909767-0.0003264089480390586j),(-0.0005994991278959967-0.0006002570426634718j),(0.00698058954682434-0.006662170542520869j),(-0.0005842031060807963-0.0005293586456338802j),(-0.0004273408910114164-0.0018490950988124242j),(-0.0004145657251949433-0.0018806760325653649j),(-0.00040554445914181217-0.0019341466173406943j),(0.0005948466755997037-0.01021169907825131j),(-0.0021143210899009315-0.0011925446446628223j),(-0.003509502875898623-0.006931773436002647j),(0.013393965591561295-0.04770896864835614j),(0.03684479442213263-0.10543594515305099j),(-0.00019035596590000672-3.694994529100453e-06j),(-0.0001785832359774723+2.2421740378091108e-05j),(-0.0012562772435552975-0.0003592774576795631j),(-7.157280198145847e-05+7.996699093329946e-05j),(-1.6375233003203467e-05+0.00010297235844976732j),(-0.0033234734185851353+0.000643071148109398j),(0.6694265980744616+0.12476450033555511j),(0.0013317475597483999+0.00025753098706110604j),(-0.004174460633908994-0.005674964717638982j),(6.76004418597291e-05-7.6823366996338e-05j),(1.7039448308510872e-06+2.1715350025883956e-08j),(2.243125687944471+1.4719952731038732j),(-0.0010168908771655382-0.0018007847455442359j),(-0.0006024481989798298-0.00044588648474041745j),(-0.00018490697675395577+9.1385173682904e-06j),(-0.00017348526326051337+3.117938341485936e-05j),(-6.417631647570722e-05+8.31682906173606e-05j),(-5.400642233994125e-06+0.00010258272870469645j),(0.012286418298402579-0.010676796410301377j),(-5.678024676358597e-09-2.880438905607139e-08j),(3.1415098729631825e-06-9.29805732701631e-05j)
Bus 03,(0.1374423298918514-0.06607743797872728j),(0.36005560520647173-0.18039052164730843j),(2.4545042640643686+0.9620689535113857j),(0.14375702414150482-0.09506706630862241j),(0.023754078981261695-0.02329055173543794j),(0.0053186394639482115-0.012874162133762143j),(-0.0017333314714897696-0.004024894024549841j),(-0.001164675213081348-0.00396718262008781j),(-0.0008114351403206326-0.003006692454985563j),(3.675076572550416e-05-0.005143900685308302j),(0.007140457517489797-0.010114014757811318j),(0.00735015932496305-0.010192070115918578j),(0.007650068145165914-0.010383539948417151j),(0.05231207889466359-0.041776762483001814j),(-0.0034520185681047102-0.015497176259123453j),(0.018321800510988986-0.04739246628448824j),(0.2904403892634276-0.14372857587396565j),(0.6742864106232556-0.2823396051806144j),(-0.0008152053465391423-0.0009411364213351176j),(-0.0008905824101962986-0.0007696221505708903j),(-0.003752763847365962-0.007676915849742084j),(-0.0007018333609152398+2.2222485155005164e-06j),(-0.0005720278200338349+0.00037112537187019407j),(-0.017671114599369583-0.013334555382368975j),(0.061897419984289846-0.07888952452953114j),(0.0001670264499447435-0.0003576690553331847j),(0.007805803568742416-0.04534107524391162j),(-1.6896425860601722e-05-2.452324164105109e-05j),(1.268273392346652e-07-4.794326562507861e-07j),(0.34502023164961126-0.1924735435927653j),(0.004330548725594465-0.01255395617328424j),(-0.0004487633357553554-0.004869865039428891j),(-0.0008537156054668091-0.0008584887103474245j),(-0.0009108238479417479-0.0007065195460872568j),(-0.0006850155666475582+5.2174330736263835e-05j),(-0.0005221004050639651+0.00042274696018854846j),(-0.0005828836518464519-0.0023304800968461255j),(-8.532785852102124e-09-4.376087326552589e-10j),(-2.6023009173414098e-05-7.472966347222525e-06j)
Bus 04,(0.0015551563552885402-0.009974402664175387j),(0.003886662077695764-0.02603959667578563j),(0.14375702414150482-0.09506706630862244j),(1.4147356480602868+0.8617684596877049j),(0.2997559945794077+0.1118744430302372j),(0.13376652413436352-0.005802046616220705j),(0.02812869480762993-0.03128108556670393j),(0.02983749381386059-0.02586150034609913j),(0.012189876314356394-0.010540308526487156j),(0.04501789997040877-0.01928056488483553j),(0.11546573121447204+0.023716981908652582j),(0.11692881204955152+0.02528871622081119j),(0.11972511537832707+0.02721528595990509j),(0.5623861856448136+0.3010764504438497j),(0.05318996711107118-0.018394805669986043j),(0.0024618102646596775-0.010377404291817289j),(0.004663488306447264-0.024581847376517328j),(0.009857804886851017-0.04816003456036099j),(-0.0001963152173228782-0.00017252923132804186j),(-0.00020711084019181365-0.00013471511677353977j),(-0.0009988924789367361-0.001489763011962634j),(-0.00014589496125149288+2.0432339796288895e-05j),(-0.0001084028049607059+9.345849630512373e-05j),(-0.004054434672084256-0.002270328361274344j),(-0.0018929330779162944-0.006276336031741971j),(-1.4139128203150932e-05-2.4484224999346528e-05j),(-0.002429567819423493-0.002590921070826075j),(-2.13296204465069e-06-1.4736406103010824e-08j),(-2.2936350969611327e-08-2.7122245033483482e-08j),(0.0026751650268083647-0.0256896233569283j),(0.12697204827272596-0.013117337914900579j),(0.04077699574976866-0.02247219079879724j),(-0.00020197239742651452-0.00015424545010210247j),(-0.00020952485052172653-0.0001210158998731371j),(-0.0001409760625357173+3.0342186799325867e-05j),(-9.655069239034603e-05+0.00010277343404286795j),(-0.00026620476662578155-0.0002815275431030525j),(-3.759043276523747e-10+4.828978219170842e-10j),(-1.506731236338e-06+1.2207845112470724e-06j)
Bus 05,(0.000564411228345591-0.0032233625275911557j),(-0.00024703450945390173-0.005150972793357098j),(0.023754078981261695-0.023290551735437946j),(0.29975599457940777+0.11187444303023722j),(0.726097321428561+2.799443324791504j),(0.6757885771130682+0.8792284182835539j),(0.3567269159851766+0.04046393509707564j),(0.34143576915391677+0.08964853687929922j),(0.13947832600413193+0.0375585339227174j),(0.09740637695733181+0.00656772512718855j),(0.18861178983255145+0.15686914740293315j),(0.1846932420202625+0.15087839643760487j),(0.18282030135268787+0.14672602384094338j),(0.18939320640656104+0.10207059933866727j),(0.018048165404664248-0.006107309781003234j),(0.0009997951972658995-0.003021951108016041j),(0.0003255432643722173-0.005314762985402545j),(9.574235427434576e-05-0.009722023974419326j),(-5.391710212849283e-05-5.6364406868791145e-05j),(-5.810288545424582e-05-4.5399854015485896e-05j),(-0.00025854884589774344-0.0004687280699660379j),(-4.390593055067002e-05+2.3096836315987207e-06j),(-3.4643217190859366e-05+2.4990009358958327e-05j),(-0.0011469000388525797-0.0007796723635298083j),(-0.0006032113614344852-0.0011335625634055484j),(-3.7192301018378525e-06-4.506487541662114e-06j),(-0.0005823627615781285-0.0004818239834975262j),(-4.352241411537588e-07+6.995840314311892e-08j),(-5.602434713656243e-09-4.743218748482851e-09j),(-0.0004664279361758204-0.00503750357292216j),(0.6930528205951768+0.7983612604701886j),(0.09276911445309194-0.002942866237057292j),(-5.607102506366889e-05-5.1074141645997665e-05j),(-5.917420132086425e-05-4.138900284463188e-05j),(-4.269917043934651e-05+5.383106340886227e-06j),(-3.1359667561954854e-05+2.8065488984165387e-05j),(0.001011459587612884-0.0020237327461074092j),(-6.009485175273682e-11+1.1127813504296594e-10j),(-2.653284934449925e-07+3.003491748660735e-07j)
Bus 06,(-0.00035819261279790553-0.0015449636082127088j),(-0.0009522393542686862-0.0019490550605828138j),(0.005318639463948215-0.012874162133762149j),(0.13376652413436355-0.005802046616220687j),(0.6757885771130682+0.8792284182835542j),(0.9016554769234649+1.2711841228317726j),(0.3594564239175591+0.06868758064472825j),(0.19504687271635074-0.04216498693649375j),(0.0799197084358195-0.016753725925233293j),(0.1288026597311314+0.01653917623944018j),(0.23876568978152884+0.224100900362419j),(0.2331124256497011+0.21515218157553487j),(0.23002761606349462+0.2088085466140495j),(0.1508615135345839+0.09019536129728782j),(0.015007592298102584-0.004300032681996417j),(0.0010234605490571373-0.0021441134718014126j),(-0.00029716667575543617-0.00253347365520631j),(-0.001520468540760564-0.004002180561599842j),(-3.464563647896041e-05-4.6789363902188184e-05j),(-3.877242988022185e-05-3.906216754054312e-05j),(-0.00014754557057325928-0.00037131817169137757j),(-3.2729042999917474e-05-2.4028926134691445e-06j),(-2.799469179461734e-05+1.5259812748987747e-05j),(-0.0007762460493953927-0.0006847979387031485j),(-0.0004216417009278349-0.0003376453906909093j),(-2.2254486969835547e-06-1.5161172738708082e-06j),(-0.0003154053629670982-0.00017775416840017002j),(-1.8361479164392234e-07+8.692545523267521e-08j),(-3.0893115342434758e-09-1.3787246141376484e-09j),(-0.0010181308190843105-0.001868721623732342j),(0.9302599848248062+1.1585480375911115j),(0.12340903520930997+0.003539389557988559j),(-3.673623914020971e-05-4.3073669014188455e-05j),(-3.994149493618308e-05-3.6192466535456224e-05j),(-3.212335507327756e-05-1.3947768401085022e-08j),(-2.5851318611605642e-05+1.784484020613849e-05j),(-3.855373580016151e-06-0.0012809465060647429j),(-1.2286147485256825e-11+5.697423998954025e-11j),(-7.880090181854124e-08+1.6703936916775332e-07j)
Bus 07,(0.00015487169542663468-0.002640912027408269j),(-0.0007233625751909763-0.00032640894803905864j),(-0.00173333147148977-0.004024894024549842j),(0.028128694807629938-0.03128108556670393j),(0.3567269159851767+0.040463935097075715j),(0.35945642391755916+0.06868758064472832j),(1.622784234950465+1.684498814875296j),(0.6345839240227761-0.020689851587727404j),(0.25974245044562866-0.006838934517417336j),(0.024459894907985166-0.018394378151375384j),(0.07713530296609442-0.0014186940861277836j),(0.07473394498897165-0.0020294320506310595j),(0.07319458672894308-0.002622948420609568j),(0.04251633640542986-0.012603110676498249j),(0.0017635059116438607-0.003517974161151516j),(-0.0002393254844167207-0.0005516490187901385j),(-0.0006181793058564764-0.00042414607089980103j),(-0.0012147172081024868-0.000519681780409592j),(-1.4689738306580204e-05-1.159152886790864e-06j),(-1.3900058484369856e-05+9.126315755277094e-07j),(-9.540964467844902e-05-3.352335757359368e-05j),(-5.896664265740315e-06+5.849664269146691e-06j),(-1.7377477329937541e-06+7.880375911019625e-06j),(-0.0002597195038746472+3.442915584938203e-05j),(-0.0001975785628923252+3.398507015957495e-06j),(-8.485074768711546e-07+1.4763855088183393e-07j),(-0.00010034829816526462+3.543835999993261e-05j),(-2.278746924442186e-08+6.084795231943317e-08j),(-1.016201283709254e-09+3.715761480272625e-10j),(-0.0007231533810940758-0.00028839864415546463j),(0.3459839883112592+0.04495673857652288j),(0.021411304780265632-0.019701337789793154j),(-1.4327657555612035e-05-1.4264018903010113e-07j),(-1.354638976723238e-05+1.6126359572095173e-06j),(-5.33991283183479e-06+6.130941077942218e-06j),(-8.880743530223626e-07+7.900643891963479e-06j),(0.0007570104263065433-0.004009799415176289j),(9.869131682872896e-12+1.5814436277957937e-11j),(1.9114879881609127e-08+5.5893359939268365e-08j)
Bus 08,(0.00376212979407411-0.004511937497659395j),(-0.0005994991278959966-0.0006002570426634717j),(-0.001164675213081348-0.00396718262008781j),(0.029837493813860583-0.025861500346099135j),(0.3414357691539167+0.08964853687929919j),(0.19504687271635074-0.04216498693649377j),(0.6345839240227761-0.020689851587727348j),(1.2430024878258636+0.7601160998793325j),(0.5067247155172929+0.3142487838687986j),(0.008639194760960731-0.014905793923506183j),(0.039588493765001884-0.017662749805755856j),(0.03829184639818911-0.017463146946460447j),(0.03744578866922228-0.017443908445348072j),(0.027078591539125597-0.017335836125080224j),(0.0005137560718844386-0.0028037275536584045j),(-0.00030643506127111034-0.0003526854409604224j),(-0.000582831287526394-0.0003738051302410985j),(-0.0010729275277409165-0.0005832855183334939j),(-1.1154616404929518e-05+2.579630322815833e-06j),(-1.0084618877590538e-05+3.929728452515614e-06j),(-7.853363943703833e-05-2.50420301612867e-06j),(-2.9994765698600813e-06+5.714113154114995e-06j),(5.570981401859832e-07+6.245145647079999e-06j),(-0.00018436147415229275+8.630020785842677e-05j),(-0.00019878258379027767-7.143054465935336e-05j),(-8.088999495691628e-07-2.6419294330859726e-09j),(-9.16425027054947e-05+3.5581085176938985e-05j),(-3.105392485012545e-08+5.253335701551717e-08j),(-1.0007110834187997e-09+1.7694559588947746e-10j),(-0.0006136855788788054-0.0005621802887013812j),(0.18322587226607134-0.05120253731284159j),(0.006771990325058859-0.01491378607313001j),(-1.0648424318802204e-05+3.247989452634561e-06j),(-9.65874403520191e-06+4.365562748939872e-06j),(-2.521153721552733e-06+5.79218620689332e-06j),(1.1913459976675003e-06+6.061279070201415e-06j),(0.00651136251686978-0.006736310708359668j),(6.532845813944333e-12+1.6243663753095036e-11j),(8.509248879016412e-09+5.482441892559668e-08j)
Bus 09,(0.17614317233945137+0.019287073971342217j),(0.006980589546824335-0.0066621705425208635j),(-0.0008114351403206323-0.003006692454985562j),(0.012189876314356394-0.010540308526487156j),(0.13947832600413196+0.03755853392271741j),(0.07991970843581953-0.01675372592523329j),(0.2597424504456286-0.006838934517417357j),(0.5067247155172929+0.3142487838687986j),(1.241639333958156+17.778263380198876j),(0.003571334974988812-0.006076166402706339j),(0.016239366955048552-0.007126664028230681j),(0.015708128819251432-0.007048370667257619j),(0.015361669442150326-0.007042737441668963j),(0.011091048125785933-0.0070348879250388295j),(0.00021168920206046882-0.0011396822051290834j),(-0.0001510990843929742-0.00013834690500976794j),(-0.0003917470794986945-0.00023734968531612845j),(-0.0007727695515039233-0.000449597204843324j),(-4.730600601517871e-06+1.680574933802987e-06j),(-4.197078652843998e-06+2.2153179658304934e-06j),(-3.433716852452161e-05+2.829149773751738e-06j),(-1.0214585260421543e-06+2.6390012713971654e-06j),(5.544244040638105e-07+2.6928092817011954e-06j),(-7.600695455102944e-05+4.679813485025703e-05j),(0.0008640064353278816-0.0022418841206848688j),(1.5814466359163758e-06-4.3967844750594224e-06j),(-6.037229637064136e-05+2.4353483764231008e-05j),(-2.257177282784102e-07-2.7076251544214303e-07j),(9.757531997666381e-10-5.788501837028301e-09j),(0.006551265226293442-0.006833323084310344j),(0.07510580874799401-0.020482114884609312j),(0.0028075121243028092-0.006084093506024558j),(-4.4767228192498185e-06+1.9464699756112016e-06j),(-3.989796719271271e-06+2.383925660861229e-06j),(-8.091862513873158e-07+2.6491368989789134e-06j),(8.21548461834484e-07+2.5810511516454816e-06j),(0.2772554432990228+0.04007831539896886j),(-1.0105137366674283e-10+4.082084880239027e-12j),(-3.1483045680664857e-07-5.990456506496088e-08j)
Bus 10,(-0.000269658811937618-0.00024998915318507215j),(-0.000584203106080796-0.0005293586456338801j),(3.675076572550435e-05-0.0051439006853082996j),(0.04501789997040877-0.019280564884835535j),(0.09740637695733184+0.006567725127188542j),(0.12880265973113142+0.01653917623944019j),(0.024459894907985155-0.018394378151375384j),(0.00863919476096073-0.014905793923506182j),(0.0035713349749888113-0.006076166402706336j),(1.0195533016704907+0.8057012659634973j),(0.6555874171871808+0.5037489718285351j),(0.6534823278856061+0.5024010856403652j),(0.6586320920795894+0.5071956135003767j),(0.3125481361135788+0.22013881931299234j),(0.03334753704069115-0.00690860662370195j),(0.0029838159145006266-0.004220009397586944j),(0.0006336664761336479-0.0024927630526014517j),(-0.0011225458657906527-0.00194018991652879j),(-5.704893054964193e-05-0.00011307257301131803j),(-6.87421059697237e-05-9.802544346497271e-05j),(-0.00017959594099249872-0.0008504240373595529j),(-6.928489905199753e-05-1.7203990572217213e-05j),(-6.563883230086757e-05+2.2407536861179292e-05j),(-0.001412067303115913-0.001754027445206666j),(-0.0001879347517041016-5.710988837667465e-05j),(-1.3902141925409344e-06-1.3897975185545566e-06j),(-0.00023277784128571905-0.00028104130737195357j),(-1.4350789294858417e-07+3.740028485486036e-08j),(-2.0284866899430464e-09-1.4086221463215922e-09j),(-0.0005956070129167451-0.000493361741145611j),(0.12351669927933642+0.008425984948240048j),(1.0402896836038364+0.666398333475399j),(-6.289938219049214e-05-0.00010587612538580848j),(-7.230528560358812e-05-9.230342164267428e-05j),(-6.886604398748035e-05-1.185914782595213e-05j),(-6.199544826135316e-05+2.8739016759707016e-05j),(-8.534186978623797e-05-7.247882562310337e-05j),(-1.6553093956323403e-11+3.919549866797936e-11j),(-7.921489109781014e-08+1.0910261332607327e-07j)
