Generador,Barra Conexión,Barra Cálculo,Tipo,Control,Z_device,K_vtg_normal,λSCR_normal,K_vtg_fault,λSCR_fault
PV1,PV1 LV,Bus 29,ElmPvsys,av_mode=constq,24.108072916666668,0.4926558003256046,0.5738231804586139,0.4818368232887189,0.5689525355965104
PV2,PV2 LV,Bus 26,ElmPvsys,av_mode=constq,55.10416666666667,0.7911455109720344,1.3148896447514555,0.7568976222150884,1.2882407481260574
G 01,Bus 39,Bus 39,ElmSym,Vtheta,4099233.3984375005,0.9999399877815847,16491.613293037815,0.9999399877815736,16491.613289848912
G 02,Bus 31,Bus 31,ElmSym,Vtheta,,,,,
G 03,Bus 32,Bus 32,ElmSym,Vtheta,14423.515625000002,0.9610546325688838,21.234336935744373,0.961054632568887,21.234336935773975
G 04,Bus 33,Bus 33,ElmSym,Vtheta,14836.796875000002,0.9808752686992597,47.1281852509419,0.9808752686947063,47.128185239594266
G 05,Bus 34,Bus 34,ElmSym,Vtheta,36916.34765625,0.9922555885863233,119.31386117285511,0.9922555885845082,119.31386114711371
G 06,Bus 35,Bus 35,ElmSym,Vtheta,14423.515625000002,0.9542866922942751,19.604734550092015,0.9542866922940126,19.604734550207315
G 07,Bus 36,Bus 36,ElmSym,Vtheta,16744.778645833336,0.9645207458687672,26.35665255667596,0.9645207458698402,26.35665255758088
G 10,Bus 30,Bus 30,ElmSym,Vtheta,37505.2734375,0.957281297554702,21.980930152751853,0.9572813315088893,21.98094724909845
