Bus,SCR,SDSCR_coupled,SDSCR_no_coupling,Strength,SCC (MVA)
BUS 31,8.684487966648229,20245032.386780694,inf,Strong,6504.2723
BUS 26,23.449193411905785,23.404575309334152,23.449193411905785,Strong,4455.3471
BUS 34,11.03576062992126,1622197.029521531,inf,Strong,5606.1664
BUS 36,10.959385357142857,6286900.653594221,inf,Strong,6137.2558
BUS 33,11.844287955942583,2098758.0714955768,inf,Strong,7485.59
BUS 32,11.038830461538462,28130918.128673527,inf,Strong,7175.2398
BUS 29,7.818720333333334,7.8123381332237365,7.818720333333334,Strong,2345.6161
BUS 39,57.7929042422071,15804347.448448839,inf,Strong,57792.9043
BUS 35,11.387805674787991,8463919.959139533,inf,Strong,7402.0737
BUS 30,33.905131728758946,94669.35119847563,inf,Strong,8476.283
