Bus,Bus 01,Bus 02,Bus 03,Bus 04,Bus 05,Bus 06,Bus 07,Bus 08,Bus 09,Bus 10,Bus 11,Bus 12,Bus 13,Bus 14,Bus 15,Bus 16,Bus 17,Bus 18,Bus 19,Bus 20,Bus 21,Bus 22,Bus 23,Bus 24,Bus 25,Bus 26,Bus 27,Bus 28,Bus 29,Bus 30,Bus 31,Bus 32,Bus 33,Bus 34,Bus 35,Bus 36,Bus 39,PV1 LV,PV2 LV
Bus 01,(1.686482203383325+18.65938155536957j),(1.158860626071239+0.28363024992503605j),(0.11599224142959774-0.13193792664085877j),(-0.0027329121111808316-0.011273946727859377j),(-0.0003165213214454829-0.0029029839924051863j),(-0.000714075028169988-0.0008309377609150233j),(0.00012314707900526857-0.0024445452208860063j),(0.0036253108651912638-0.004505336765197972j),(0.17624021201875703+0.013833170758674731j),(-0.0003475103114264007-0.00012097961396348579j),(-0.0004946069854385896-0.000717706641672215j),(-0.0004946425047734222-0.0007314013544991193j),(-0.000499978717595084-0.0007537901579519249j),(-0.001455800280555164-0.004281417049780082j),(-0.0010551766192773715-0.00013753835959742485j),(-0.002555399759441458-0.002226848871693239j),(-0.002404149762011796-0.021482472079107487j),(-0.0023855385605167654-0.048663022003958056j),(-7.696446073272417e-05+3.256244887524622e-05j),(-6.771170070126175e-05+4.108070827718835e-05j),(-0.0005663066817908936+6.0629019256606385e-05j),(-1.3267811334779558e-05+4.570005387954285e-05j),(1.1940363548203476e-05+4.395923218865117e-05j),(-0.001238124551747084+0.0008048037776874141j),(0.2910905580138504-0.05926572547428737j),(0.0005969427140555724-0.00010060460530906259j),(-0.00261423124711992-0.001610875880842295j),(1.6236795609991803e-05-4.2687674129389795e-05j),(7.16837641663117e-07-2.9221829627599575e-07j),(1.1788823881121084+0.2321603143592146j),(-0.0007641080615747732-0.000693746694624712j),(-0.00034176725866792284-8.201103811052622e-05j),(-7.282861222613834e-05+3.696108032937363e-05j),(-6.422172219735424e-05+4.379362375887394e-05j),(-9.73168288211888e-06+4.581467398821621e-05j),(1.635269043602684e-05+4.2040262366253395e-05j),(0.29417755771703513+0.02954269483748959j),(-4.840014798161464e-09-4.6208386582840324e-08j),(2.3449323653929536e-06-2.4240262991114554e-05j)
Bus 02,(1.1588606260712384+0.2836302499250359j),(3.0724131051453565+0.6991765295182946j),(0.30066834322816044-0.3533993035713585j),(-0.007519661739981968-0.02935250445470974j),(-0.0022901220479910112-0.004750487106105959j),(-0.0015097263372736475-0.0007792497019883082j),(-0.0007127871047621427+6.650537768566005e-05j),(-0.0007943408452183517-0.000364788312630964j),(0.004227336792936586-0.010354507164143694j),(-0.0008054582367080216-0.0002513123130599877j),(-0.0011853524525768375-0.0015940563187124641j),(-0.0011882367489138388-0.0016392911387693918j),(-0.0012039183772504832-0.0017040552790740524j),(-0.0038937764086205504-0.01101999728919531j),(-0.002769705575461219-0.00031308652467375585j),(-0.006840766834194674-0.005773127178971533j),(-0.007268025525105024-0.05663035702874468j),(-0.008384290243924172-0.128411005594339j),(-0.00020186404283480545+8.920217489059798e-05j),(-0.00017707549963320827+0.00011130769757913463j),(-0.0014928094468786067+0.00018378710357922165j),(-3.312184213255485e-05+0.00012122721163861886j),(3.336810368270966e-05+0.00011557579975975711j),(-0.0032356235661733564+0.00217690760782129j),(0.7661401768370143-0.16901569624692117j),(0.0015720313925609317-0.00029133003438924673j),(-0.006972871029194877-0.004142343948663157j),(4.1041677904923496e-05-0.00011342402985940828j),(1.8804026274086082e-06-8.024815356513352e-07j),(3.1230726016052617+0.5623984558389704j),(-0.0015018700639133754-0.0005529364168620609j),(-0.0007893864809725225-0.00016243292028763378j),(-0.00019075919444096065+0.00010064381816560271j),(-0.00016774661804365068+0.00011832519161227027j),(-2.3779815342945602e-05+0.00012138191420486292j),(4.4938666117810436e-05+0.00011032409904555149j),(0.007851845168063393-0.01710767380652351j),(-1.4767546613448671e-08-1.2181516603933812e-07j),(5.150241807587251e-06-6.41124594825928e-05j)
Bus 03,(0.11599224142959769-0.13193792664085877j),(0.30066834322816044-0.3533993035713585j),(2.4279184774545923+0.9580435227549304j),(0.1426069523011056-0.09335327671461185j),(0.020934517540720912-0.02042645826894384j),(0.0014582003764061868-0.009260088143390367j),(-0.0017916939406474033-0.002766655784909243j),(-0.0009397841627646292-0.0032833611287094054j),(-0.0013978576621824662-0.0026352675388510174j),(-0.00011020579653809562-0.004736907147767125j),(0.006351301899156267-0.009168559968083296j),(0.00658656743683036-0.009267410391206635j),(0.0069027414687477685-0.009469438502212773j),(0.05160232766039014-0.04072934897537324j),(-0.003366103043849879-0.015300577189666594j),(0.018253422061967083-0.0468724559056405j),(0.28787626290703855-0.14164009069882144j),(0.6682182038957869-0.2780075991103682j),(-0.0008414401764190132-0.0009110626619687624j),(-0.0009138886875973766-0.0007390566632076553j),(-0.0036923450577365565-0.007602950400030964j),(-0.000704804440230204+4.4382761875214646e-05j),(-0.0005538226876586059+0.000387629046579474j),(-0.017459579456840978-0.013244313947318644j),(0.030141953933512124-0.1115388489265241j),(0.00011831885207705812-0.00042983060438317054j),(0.007816008023380703-0.04487357899930717j),(-2.3456547173017643e-05-2.4105604445040536e-05j),(2.7636955457843086e-08-5.694236266438944e-07j),(0.2862669860909426-0.3693342625082812j),(0.0002866549411569483-0.008825793475983532j),(-0.0005541989551121091-0.004491697182110529j),(-0.0008820773372694474-0.0008312081830893672j),(-0.0009342329366858447-0.0006766916888940786j),(-0.00068863550894843+9.43354351900979e-05j),(-0.0005048547514452054+0.0004395974987116943j),(-0.001720321599326979-0.002189833564185095j),(-3.235657286629551e-08-1.1126958846919777e-08j),(-1.5456188968355363e-05-9.097971128343917e-06j)
Bus 04,(-0.002732912111180829-0.011273946727859368j),(-0.0075196617399819685-0.029352504454709737j),(0.14260695230110557-0.09335327671461183j),(1.411153399592733+0.8642847725990093j),(0.2662963679366268+0.09930657893667968j),(0.08745836429818438-0.0252724198368042j),(0.017119389893210907-0.027047600675242738j),(0.02521565497474483-0.021387203406513122j),(0.010263688683022893-0.00868074806812223j),(0.04128371520353594-0.019191774925533756j),(0.10516462441118514+0.020621721703731673j),(0.10693444499290433+0.02234468868533613j),(0.10992395737789637+0.02438314789230952j),(0.5567380349468067+0.3007398407037779j),(0.05283205023077965-0.01804917375172475j),(0.0024884927982317317-0.010277374228482124j),(0.004726253972711229-0.024300391606049927j),(0.009968586033706544-0.04758625014913756j),(-0.00020085627677804085-0.00016621564194696346j),(-0.0002111267150277264-0.00012834792133493015j),(-0.0009824811286569327-0.0014804664389012029j),(-0.0001455955402325224+2.901180019993955e-05j),(-0.00010451399336846571+9.62903041652722e-05j),(-0.0040089728503436995-0.0022697196689774775j),(-0.004813483850179859-0.005810441492477066j),(-1.970743590158526e-05-2.4681418882491542e-05j),(-0.002392674704200779-0.002573847696867201j),(-2.3584047095608537e-06+3.4048673043989205e-07j),(-3.148434052254232e-08-2.529751357644642e-08j),(-0.008912210194324345-0.029184825522917478j),(0.0788177559860277-0.03379134868344308j),(0.03741677832791236-0.022157809737018738j),(-0.00020708331282720795-0.0001484390227737544j),(-0.00021361635352833567-0.0001147841753677585j),(-0.00014082604095556325+3.896559703176378e-05j),(-9.28545635713114e-05+0.00010574428061258799j),(-0.0002846352750727865-0.00017860328146795823j),(-1.985202084646291e-09+1.3910661066649778e-09j),(-1.1651011107155464e-06+5.069542297097603e-07j)
Bus 05,(-0.0003165213214454822-0.002902983992405186j),(-0.0022901220479910104-0.00475048710610596j),(0.020934517540720905-0.02042645826894384j),(0.2662963679366268+0.09930657893667968j),(0.6520015178725244+2.5132772933639242j),(0.5871655651270895+0.4733618834499262j),(0.2757102142475992-0.01387116406908312j),(0.28918948888014684+0.07965242765967878j),(0.11810061532004094+0.033325793819970674j),(0.06824484110120342-0.013342670814904613j),(0.15385305329052062+0.07549066013320062j),(0.15038690653769074+0.07228783256974923j),(0.14861387006397123+0.06999942275617661j),(0.16197593025577683+0.06351578091261331j),(0.013885391714542127-0.006672167810190996j),(0.0005206406025416571-0.0026019022823426333j),(0.00013930718720557968-0.004625536050940303j),(6.588268156135278e-05-0.008495679789528877j),(-5.203232577267274e-05-3.9656892323604155e-05j),(-5.4226823937067105e-05-3.005892574053111e-05j),(-0.0002612232834110903-0.00036132734208784074j),(-3.621412997738856e-05+8.737788369634455e-06j),(-2.5237296459769357e-05+2.519384411079402e-05j),(-0.0010280014747911619-0.0005287973795598368j),(-0.0010206982861211283-0.0008263076544856468j),(-4.3020446736700685e-06-3.746773575386212e-06j),(-0.0005189726064694482-0.0004026891792457945j),(-4.08031676736385e-07+1.3696258730108301e-07j),(-6.41468443359624e-09-3.474435511769227e-09j),(-0.0025219824316250663-0.0046741000683573055j),(0.603906432492307+0.3742395852410664j),(0.06359673966603327-0.019156746026121253j),(-5.341496324952902e-05-3.513709372821874e-05j),(-5.471471684124265e-05-2.6633006639443655e-05j),(-3.491819745348379e-05+1.1185600657098511e-05j),(-2.221884798806178e-05+2.7447076079569876e-05j),(0.0008375893657570798-0.00172388468237585j),(-3.076561026539945e-10+3.115430639665743e-10j),(-1.9059381425005813e-07+1.278550628268205e-07j)
Bus 06,(-0.0007140750281699875-0.0008309377609150228j),(-0.0015097263372736466-0.0007792497019883075j),(0.0014582003764061842-0.00926008814339037j),(0.08745836429818438-0.025272419836804217j),(0.5871655651270896+0.47336188344992636j),(0.7990857762773823+0.6964389161956774j),(0.24861310808520815-0.011985220804857167j),(0.12221612073812475-0.05902043466522576j),(0.05014963724375751-0.023833915624432454j),(0.08887098281407411-0.012707299689937212j),(0.19430799881456484+0.10812229550128218j),(0.18913981449696793+0.10311269547167155j),(0.18609440856659837+0.09939365273873271j),(0.1144231729461927+0.034647926296302305j),(0.009194690037300786-0.0053123004868771235j),(0.0003240756164091871-0.0015848691820299925j),(-0.0005976683992980056-0.0016199307726747032j),(-0.0016273303200492672-0.002381663122219563j),(-3.16188615770019e-05-2.4309649072087528e-05j),(-3.298132635639178e-05-1.8464044227803963e-05j),(-0.000158323188698791-0.0002209472620215601j),(-2.2099742137866453e-05+5.233923720379692e-06j),(-1.5450127328921898e-05+1.529424013088244e-05j),(-0.0006253466496212923-0.0003250099095948696j),(-0.0004228346798757801-1.4995858944283282e-05j),(-1.930092542936832e-06-4.252380492901618e-07j),(-0.00023575342246174119-6.68528881212735e-05j),(-1.0134085782016963e-07+1.0937615901913578e-07j),(-2.5273029472561466e-09+8.24769032666046e-12j),(-0.001554614768469251-0.0007146730993554892j),(0.8279404892236006+0.5581355939705923j),(0.08326097038040997-0.02050994529402151j),(-3.2473359763783453e-05-2.155777906157498e-05j),(-3.32875521794451e-05-1.6376743315827527e-05j),(-2.1315979770973037e-05+6.729515582058982e-06j),(-1.3615763431857708e-05+1.6675629107743393e-05j),(-0.00022652269678189832-0.0008404256218753245j),(-4.1840223835527925e-11+1.458017654988406e-10j),(-3.673370706186049e-08+7.051466628468628e-08j)
Bus 07,(0.0001231470790052688-0.0024445452208860068j),(-0.0007127871047621427+6.650537768565989e-05j),(-0.0017916939406474037-0.0027666557849092446j),(0.017119389893210914-0.02704760067524274j),(0.27571021424759923-0.013871164069083064j),(0.2486131080852082-0.01198522080485713j),(1.5908890055274032+1.6888608999961763j),(0.6195047183312711-0.01169962396737867j),(0.2534962478842257-0.0032167284143648223j),(0.012930751496761622-0.016856717569404385j),(0.05073793810502485-0.013835221748738143j),(0.04905936929906243-0.013857612974681313j),(0.04795346781834375-0.014012985116797636j),(0.027308528809591816-0.016086676178931645j),(0.0006141293961484334-0.002744063911183297j),(-0.0002664957932484025-0.00034329818835329083j),(-0.0005182062748069996-0.00021971693556610674j),(-0.0009641978146580537-0.00022567675477301087j),(-1.0487678051659568e-05+2.1955350513273344e-06j),(-9.533976070738911e-06+3.4958348811537677e-06j),(-7.27475103598275e-05-6.361810087512318e-06j),(-2.798244548226453e-06+5.421979155797004e-06j),(4.163211630705671e-07+5.825691757164215e-06j),(-0.00017565595671330812+7.067002879671288e-05j),(-0.00015344189541604777+9.074383415772822e-05j),(-6.461467926057039e-07+3.4473789859357565e-07j),(-6.852870593185027e-05+4.108357602809726e-05j),(-2.2271013008643193e-09+5.520778643854909e-08j),(-7.100747921517652e-10+6.106117292536038e-10j),(-0.0007140434872427938+9.961980785471613e-05j),(0.2310089589902754-0.04010439781144144j),(0.010690499002586885-0.01724824284448762j),(-1.0075989378297768e-05+2.851118434802015e-06j),(-9.161904069768986e-06+3.923374932962074e-06j),(-2.3561788449313817e-06+5.523755308357181e-06j),(1.01886265909278e-06+5.6932575235996175e-06j),(0.0007045115023546816-0.003934195326807595j),(2.3304176512514212e-11+5.114958439472373e-11j),(6.622325692115302e-09+2.8708603520211424e-08j)
Bus 08,(0.0036253108651912655-0.004505336765197976j),(-0.0007943408452183515-0.0003647883126309639j),(-0.0009397841627646296-0.0032833611287094054j),(0.025215654974744824-0.02138720340651313j),(0.2891894888801468+0.07965242765967875j),(0.12221612073812477-0.059020434665225746j),(0.6195047183312711-0.011699623967378725j),(1.2373473799298882+0.7678424890914579j),(0.5043090360710647+0.317291946904704j),(0.003170076141570943-0.01169270960079324j),(0.02368619782292781-0.018276550362611263j),(0.02287776316962925-0.01793574444378505j),(0.022342612458945813-0.017789120752132206j),(0.01870071374309528-0.01584561192466666j),(0.00010164988485411965-0.0021703923308946764j),(-0.00027493674442577253-0.00024200731822818377j),(-0.00048662944584916746-0.0002879105329587977j),(-0.0008796146321467618-0.00047846808499344415j),(-8.33426256137681e-06+3.477261861613888e-06j),(-7.338998395789275e-06+4.402719906545741e-06j),(-6.122742764608185e-05+6.2467768217482856e-06j),(-1.4583065334587926e-06+4.93118339152003e-06j),(1.2666123099964599e-06+4.756637120308354e-06j),(-0.00013422419436117695+8.630036184768217e-05j),(-0.00021763752465802651+2.289412725217153e-06j),(-7.917057671147878e-07+1.1172515042741864e-07j),(-7.37420549692396e-05+3.1758867109114854e-05j),(-2.294675393753549e-08+5.5786906042763204e-08j),(-9.567783846965577e-10+3.604757825795982e-10j),(-0.0008158838498648975-0.0003305381066709101j),(0.10738599625745171-0.0693793193471258j),(0.0019035261273643573-0.011414026568537025j),(-7.889712127314439e-06+3.954801385749889e-06j),(-6.963333148967438e-06+4.697754276427187e-06j),(-1.076256052541236e-06+4.945472177752846e-06j),(1.744438723005098e-06+4.55164879114724e-06j),(0.006416250938670729-0.00686708923579019j),(4.756685832883468e-12+6.118047579135917e-11j),(-3.953015629654351e-09+3.192174374831937e-08j)
Bus 09,(0.17624021201875695+0.013833170758674728j),(0.004227336792936584-0.010354507164143687j),(-0.0013978576621824644-0.002635267538851016j),(0.010263688683022892-0.008680748068122227j),(0.11810061532004093+0.03332579381997069j),(0.050149637243757525-0.02383391562443244j),(0.2534962478842257-0.003216728414364798j),(0.5043090360710647+0.3172919469047041j),(1.2417118109233112+17.775665966854753j),(0.0013251762447870964-0.004773357549302249j),(0.009730960682740222-0.007414790867335374j),(0.009399172466717984-0.007277418848948398j),(0.009179611457390924-0.007218772860112348j),(0.007650375122453098-0.006429884601953981j),(4.408162589218437e-05-0.0008783298923290452j),(-0.00013667457919897533-7.990297784565862e-05j),(-0.0004003437562001252-0.0001328213075050482j),(-0.000811067168969449-0.00025742213797256414j),(-3.247748093331441e-06+2.1652242681868538e-06j),(-2.7488995041951055e-06+2.4754270762917347e-06j),(-2.5457393982882956e-05+7.719584553965014e-06j),(-2.1036806953264572e-07+2.2127089413707617e-06j),(9.311767446118984e-07+1.913043258381495e-06j),(-4.9796663811691896e-05+4.772483177918502e-05j),(-0.00014829691816996981-0.002780800476436528j),(-2.528475737738377e-07-5.624695331738506e-06j),(-4.946902454735613e-05+3.420059485168634e-05j),(-3.756944256522991e-07-1.9822696593763503e-07j),(-1.8860099202907373e-09-6.948485734771776e-09j),(0.0037776831300132337-0.010611104759535195j),(0.04410897888102927-0.02810959261819874j),(0.0008065893933259668-0.004662535369190744j),(-3.0196164366709303e-06+2.3310038065318027e-06j),(-2.565102173930052e-06+2.569485698052301e-06j),(-4.7107072504116446e-08+2.18713771000078e-06j),(1.1169132355053857e-06+1.7865176807727343e-06j),(0.2791419671109076+0.033651628265321185j),(-4.3206120650098477e-10-7.63902459277804e-12j),(-2.2112322353732115e-07-4.909424703998777e-08j)
Bus 10,(-0.0003475103114264002-0.00012097961396348569j),(-0.0008054582367080211-0.0002513123130599877j),(-0.00011020579653809592-0.0047369071477671235j),(0.04128371520353591-0.01919177492553376j),(0.06824484110120344-0.013342670814904633j),(0.08887098281407411-0.012707299689937224j),(0.012930751496761617-0.016856717569404392j),(0.0031700761415709424-0.011692709600793242j),(0.0013251762447870955-0.00477335754930225j),(1.0584907217361705+0.785522076124909j),(0.6728778111748146+0.4863735721200909j),(0.6709738319248364+0.4852611587405219j),(0.6765355108020618+0.49010321848249555j),(0.3192661071969974+0.21250065233508678j),(0.03326146986063801-0.007811616682425387j),(0.002888748488177168-0.004310430455826384j),(0.000607052543691545-0.002480519079489484j),(-0.0010976338573870407-0.001829724017872127j),(-6.43012072351265e-05-0.00011059937244418536j),(-7.54521748040272e-05-9.490406329667706e-05j),(-0.00020134238702971763-0.0008483246039513248j),(-7.196249021283182e-05-1.1331436254570836e-05j),(-6.445490936585798e-05+2.6615124741475563e-05j),(-0.0014611112234730265-0.0017249949157015873j),(-0.00020821727053957418+2.9008101393401048e-05j),(-1.4384320801795663e-06-1.2652882391116444e-06j),(-0.00023359036795799862-0.00027695043526496484j),(-1.372440703806895e-07+4.531709191044176e-08j),(-2.14830931431549e-09-1.1773321956537443e-09j),(-0.0008218606103934974-0.00021586596460535938j),(0.08159892932569995-0.02220975466152151j),(1.080566838956014+0.6461595039869867j),(-7.018319295433989e-05-0.00010346974797148013j),(-7.889876389403147e-05-8.908054699225758e-05j),(-7.145426779938889e-05-5.9391712856310986e-06j),(-6.068931003558067e-05+3.294565235931636e-05j),(-7.25280100012341e-05-3.0380351968285304e-05j),(-1.0382669072138377e-10+1.0410747083677476e-10j),(-6.421313934690278e-08+4.261852676360047e-08j)
