Bus,SCR,SDSCR_coupled,SDSCR_no_coupling,Strength,SCC (MVA)
BUS 32,11.01526581226072,47111592.9277905,inf,Strong,7159.9228
BUS 39,57.771118911144406,26824461.487035524,inf,Strong,57771.1192
BUS 31,7.806685059150339,34075753.87435357,inf,Strong,6491.1581
BUS 33,11.814170215777942,3529173.7472054646,inf,Strong,7466.5556
BUS 26,39.533427124841666,39.40366627006991,39.533427124841666,Strong,4348.6773
BUS 29,7.648132666666667,7.644506863066793,7.648132666666667,Strong,2294.4398
BUS 34,11.013603718477158,2732521.8180857925,inf,Strong,5594.9107
BUS 35,11.35750965736151,14219748.331290971,inf,Strong,7382.3813
BUS 30,33.73952505529329,158827.86753048084,inf,Strong,8434.8815
BUS 36,10.936111944756943,10570423.700184433,inf,Strong,6124.2227
