Bus,Bus 01,Bus 02,Bus 03,Bus 04,Bus 05,Bus 06,Bus 07,Bus 08,Bus 09,Bus 10,Bus 11,Bus 12,Bus 13,Bus 14,Bus 15,Bus 16,Bus 17,Bus 18,Bus 19,Bus 20,Bus 21,Bus 22,Bus 23,Bus 24,Bus 25,Bus 26,Bus 27,Bus 28,Bus 29,Bus 30,Bus 31,Bus 32,Bus 33,Bus 34,Bus 35,Bus 36,Bus 39,PV1 LV,PV2 LV
Bus 01,(1.6842881521064814+18.664703125561715j),(1.1534518949388057+0.2970378973594998j),(0.11737392457750351-0.13031845146534815j),(-0.0025900657135521925-0.011286623571108286j),(-0.00027244760326280065-0.0028798056833969406j),(-0.0006830754937791887-0.0007954586237763575j),(0.00013825237012053668-0.00244380487373042j),(0.003639790746642456-0.004502654026140984j),(0.17622620368895686+0.014127188988399212j),(-0.0003403041454389171-0.00012513765987896315j),(-0.0004784491714737461-0.0007153089068617075j),(-0.00047844313124057543-0.000729274670484124j),(-0.00048355233124375047-0.0007519012260107881j),(-0.0013979642517077827-0.0042883318033241765j),(-0.0010512759785138823-0.00014999496533567178j),(-0.0025243925969549883-0.00225367082685643j),(-0.0021432034050674056-0.021474691323914274j),(-0.0017981721076627173-0.0486073968690656j),(-7.725866113312512e-05+3.1435216191117634e-05j),(-6.813466304558169e-05+4.005584010823086e-05j),(-0.0005660959334161436+5.375150290423896e-05j),(-1.3929735743503687e-05+4.538451471247075e-05j),(1.1308096098406536e-05+4.4048316836153954e-05j),(-0.001245660832360125+0.000788616213198245j),(0.2912954899010159-0.055673184333885545j),(0.0005995782216179741-0.00011875171022025495j),(-0.0025936479788331323-0.001642288435384826j),(1.5159975763243795e-05-4.3550413232486696e-05j),(7.175976722802737e-07-2.995363264014814e-07j),(1.1732367073478636+0.24576420967606966j),(-0.0007334653050422287-0.0006564516438660382j),(-0.00033508797927935224-8.661200370081825e-05j),(-7.317356567498347e-05+3.587022915552888e-05j),(-6.468270759429878e-05+4.2805463693485024e-05j),(-1.0402171934452627e-05+4.55396241775976e-05j),(1.5733883921028528e-05+4.218353428662082e-05j),(0.2941387029534286+0.030035820688003322j),(-4.047585645599535e-09-3.025993808814822e-08j),(5.44428946414572e-06-4.986787578950575e-05j)
Bus 02,(1.1534518949388053+0.2970378973594997j),(3.0586655758447914+0.7347897729080777j),(0.3043800737958553-0.34917806359527453j),(-0.007148547041820695-0.0293937997657995j),(-0.002184660310400246-0.004739118258547376j),(-0.0014370075094575498-0.0007506457686170681j),(-0.0006945267254378254+5.545532803664472e-05j),(-0.0007796381319777034-0.0003787537967146872j),(0.004362276922026093-0.010278395088383102j),(-0.0007917706135356417-0.0002650190253825547j),(-0.001147867169955962-0.0016007493617381996j),(-0.0011506040538339442-0.001646265243583708j),(-0.0011657009713927802-0.0017113703396667312j),(-0.003745689535389318-0.011046485983493504j),(-0.0027605496686379234-0.00034620829688319135j),(-0.006760042014773427-0.005845105803737839j),(-0.0065788087032373314-0.056620067178094965j),(-0.006831347827746314-0.1282872801019337j),(-0.00020268519515943974+8.624016931690029e-05j),(-0.00017823224885780932+0.00010862084909132098j),(-0.0014925263335671935+0.0001656378048670089j),(-3.488088762363836e-05+0.00012042123965046189j),(3.1703695649753105e-05+0.00011583610132188326j),(-0.003256144136703065+0.002134508090960769j),(0.7668238909655553-0.15953891340579765j),(0.0015781864162474355-0.00033936711835231913j),(-0.006919776583785168-0.004226073830304588j),(3.815992132841635e-05-0.00011565448752923398j),(1.8820639185926356e-06-8.218358986941603e-07j),(3.1087064248989544+0.5985418592139271j),(-0.00142966625544114-0.0005221358703745442j),(-0.0007771580145621975-0.0001766942733528063j),(-0.00019171276457691458+9.777975411772939e-05j),(-0.00016900220603792424+0.00011573667473251693j),(-2.555985340026405e-05+0.00012068307978180066j),(4.331190331636499e-05+0.00011072679729324982j),(0.008067499720138389-0.01696761507008675j),(-1.1989559852648276e-08-7.973269339012554e-08j),(1.2232272176219445e-05-0.00013191909064139788j)
Bus 03,(0.11737392457750345-0.13031845146534815j),(0.30438007379585535-0.34917806359527476j),(2.42872616227698+0.9578458105183197j),(0.14265027559603977-0.0933761558851482j),(0.02085643352573619-0.020148449709175932j),(0.0013292293733539427-0.008863560816711327j),(-0.0017494995116780843-0.002678965919108584j),(-0.0008999620156651298-0.003249697522539701j),(-0.0013621890440326822-0.00263266402094035j),(-7.049214468965014e-05-0.004697709897417559j),(0.00635617285172079-0.009078311159965753j),(0.0065924623032352254-0.00917990719745268j),(0.0069096806182813416-0.009383669727904793j),(0.051620010738619444-0.04069967613982615j),(-0.003365854525105439-0.015301672015342252j),(0.01825018285836755-0.04688820730868738j),(0.28792479944138155-0.1417297272426351j),(0.6683407644455066-0.27820275861326266j),(-0.0008399135725726043-0.000912429330712082j),(-0.0009124929391077024-0.0007404869979355928j),(-0.0036948880988491688-0.007604655767813757j),(-0.0007045987549543151+4.2195349911455684e-05j),(-0.0005546379683876834+0.00038674567785748176j),(-0.017466657626271913-0.013244808571086442j),(0.031424877808622784-0.1109819266528493j),(0.0001045845911622658-0.00043808439809777576j),(0.0078073241791512486-0.04488565066476843j),(-2.4515854638678913e-05-2.3528791035922206e-05j),(1.9732739293910786e-08-5.726557764342909e-07j),(0.29000573209625136-0.3649961373026741j),(0.0001484189992674084-0.00841283394911759j),(-0.0005121085564763418-0.004455330728769223j),(-0.0008804221035129125-0.0008324513194471529j),(-0.0009328230824576428-0.0006780987938341075j),(-0.0006883998165112966+9.21334190647124e-05j),(-0.0005056317897155498+0.00043868137296310036j),(-0.001687058140534679-0.002208683974156413j),(-2.151204879123304e-08-6.581512760577858e-09j),(-3.1731138476332396e-05-1.8960989952517403e-05j)
Bus 04,(-0.0025900657135521895-0.011286623571108281j),(-0.007148547041820689-0.029393799765799502j),(0.14265027559603977-0.09337615588514821j),(1.4110068144072323+0.8646015580485498j),(0.26344103642141625+0.09978623396317024j),(0.08342177208605939-0.024752990725348454j),(0.01652010946079633-0.026303191230703776j),(0.025073631531290528-0.0208859003072873j),(0.010204622342721764-0.008477556165756791j),(0.04108922370179716-0.018670915646790257j),(0.1043559094605369+0.021048992125175386j),(0.10615331781683329+0.02276957555253191j),(0.10916118896461442+0.024810121335284006j),(0.5563469956385887+0.30104616352298513j),(0.05282797014688374-0.018005136433833238j),(0.002492154081886317-0.010272815972081446j),(0.004729910075117191-0.02430405215704466j),(0.009973982196976641-0.04759898697829097j),(-0.0002003532148149787-0.0001665649058024665j),(-0.00021066960505420316-0.0001287360126123534j),(-0.000981557957557792-0.0014804542861475915j),(-0.00014554326305952396+2.8443987144274023e-05j),(-0.0001047039520491396+9.600687313540777e-05j),(-0.004006644166779129-0.002270700898061101j),(-0.004734318536356761-0.005859060452102204j),(-2.0761319101452015e-05-2.423696358341963e-05j),(-0.0023928356308409084-0.0025743882108256186j),(-2.3697320532586073e-06+4.2583686719521147e-07j),(-3.200955723775602e-08-2.4975572029071846e-08j),(-0.008533919905155412-0.029223450402030726j),(0.07460248779086459-0.033285182894772274j),(0.037258394950228695-0.021627734641549545j),(-0.00020655711427168468-0.00014878072853943686j),(-0.0002131624418036572-0.0001151775625706061j),(-0.00014077689743114644+3.8390790988091185e-05j),(-9.305031619533169e-05+0.00010545436167350466j),(-0.00028108778742480143-0.00017968668146310407j),(-1.2730473077302541e-09+9.592757888954886e-10j),(-2.4082836554438148e-06+1.0296938942377678e-06j)
Bus 05,(-0.00027244760326280043-0.00287980568339694j),(-0.0021846603104002447-0.0047391182585473784j),(0.02085643352573619-0.020148449709175936j),(0.26344103642141625+0.09978623396317027j),(0.635197678112243+2.496103641726931j),(0.5644911372392074+0.4483359752214115j),(0.26779968137053145-0.01442280348309124j),(0.28510199963225086+0.08106214306655543j),(0.11642623248379337+0.033892843518913564j),(0.06530049295146781-0.012939862714894848j),(0.14805720914143086+0.07154966309951047j),(0.1447359704810519+0.0685242501765857j),(0.14304479076355833+0.06636683053751294j),(0.15846397133662232+0.06208775841403535j),(0.013579534471961233-0.0065312192342073475j),(0.0005055859108289693-0.0025527165766152863j),(0.00015211453287858188-0.004573018796408426j),(0.00010736293350290243-0.00841677452883982j),(-5.101921668446059e-05-3.887356793838571e-05j),(-5.316119736675309e-05-2.946146834180824e-05j),(-0.0002568950729565592-0.0003538679147341581j),(-3.5500025601792356e-05+8.517270066709666e-06j),(-2.4749128209374608e-05+2.470794134125735e-05j),(-0.0010091951726158913-0.0005166148025052594j),(-0.0009957388194893964-0.0008349347314142856j),(-4.416077771693239e-06-3.6138741561222346e-06j),(-0.00051188115184752-0.0003997342217826333j),(-4.0374626729561626e-07+1.494220507670438e-07j),(-6.419236649016542e-09-3.390428849140898e-09j),(-0.0024135441639238264-0.004664351201777398j),(0.5804576835640732+0.34794096677724456j),(0.06079797863642859-0.018478478056539446j),(-5.235921904095108e-05-3.44345852475943e-05j),(-5.363260829546874e-05-2.6100621053164876e-05j),(-3.4223737881573484e-05+1.091393255724063e-05j),(-2.1784089581669932e-05+2.6909805137775033e-05j),(0.0008439915118712407-0.0016951577120866243j),(-1.9394201749908643e-10+2.0885808447761548e-10j),(-3.9155702209751064e-07+2.5692623451889483e-07j)
Bus 06,(-0.0006830754937791885-0.0007954586237763573j),(-0.001437007509457549-0.000750645768617068j),(0.0013292293733539401-0.008863560816711328j),(0.0834217720860594-0.024752990725348454j),(0.5644911372392074+0.4483359752214116j),(0.7685898160051647+0.6600682764903231j),(0.23753277466377765-0.013186513348385885j),(0.11639930660512075-0.05726093447248533j),(0.04776617608315958-0.02312908313711053j),(0.08472038783907412-0.012341357789362187j),(0.1863844424913099+0.10224930738414391j),(0.18141019727443294+0.09749674795241965j),(0.17847274006121447+0.09396585378781258j),(0.10956936022494376+0.03244131026178694j),(0.008756906559329241-0.005131664110548817j),(0.00030031699397257207-0.0015165365403108676j),(-0.0005820054093797307-0.0015442451796027507j),(-0.0015722248304933667-0.0022657121024768825j),(-3.031035950626711e-05-2.3093293568832486e-05j),(-3.158271553047339e-05-1.7501679846511386e-05j),(-0.00015262326490757743-0.00021022287069730064j),(-2.108985012205337e-05+5.060578015877883e-06j),(-1.4702638851175448e-05+1.4679012739220074e-05j),(-0.0005995554463278277-0.00030689537044138786j),(-0.0004034131894101256-1.627794332401128e-05j),(-1.8813367250506528e-06-3.3188711903613116e-07j),(-0.0002257587587038154-6.231244819138668e-05j),(-9.341366780576438e-08+1.0975808650491264e-07j),(-2.4296288023584777e-09+6.145101749334303e-11j),(-0.0014790984311308685-0.0006888036686511406j),(0.7964255456680983+0.519936174957093j),(0.07930022844226543-0.01975022403741751j),(-3.110635778581113e-05-2.04561424061747e-05j),(-3.18627159523638e-05-1.5505046408385386e-05j),(-2.0331587261216485e-05+6.484374980810842e-06j),(-1.2941119510219787e-05+1.5987054165377517e-05j),(-0.00022115737368059323-0.0008019250456873344j),(-2.2419241416957875e-11+9.274878422333726e-11j),(-7.224658481106365e-08+1.3915110333490436e-07j)
Bus 07,(0.0001382523701205366-0.0024438048737304187j),(-0.0006945267254378253+5.545532803664466e-05j),(-0.0017494995116780847-0.0026789659191085832j),(0.016520109460796333-0.02630319123070378j),(0.26779968137053145-0.01442280348309119j),(0.2375327746637777-0.013186513348385859j),(1.588816815801926+1.6904593029972623j),(0.6188056709220001-0.010455701835073272j),(0.2532105600368767-0.002708497203103677j),(0.012288504921111774-0.016119440583118722j),(0.04844151212308211-0.01354127096159928j),(0.04683759315688812-0.013551662867389607j),(0.04578058157034136-0.013692718291028997j),(0.026127872176935015-0.01567102025460842j),(0.0005693778173341782-0.0026422886271445937j),(-0.00025941530833473-0.00032785637284042717j),(-0.0005033221473949414-0.000209443008158404j),(-0.0009361830503164946-0.00021500231800244008j),(-1.0070023935156076e-05+2.1864867874508504e-06j),(-9.142492026804858e-06+3.429293128760603e-06j),(-7.003882142404411e-05-5.47052314131213e-06j),(-2.6584101902034545e-06+5.228056344986033e-06j),(4.4158164194811906e-07+5.6009748313921145e-06j),(-0.00016834083451799556+6.95478602461671e-05j),(-0.00015050141712581922+8.631513484548721e-05j),(-6.214277269952192e-07+3.617945461011648e-07j),(-6.61023670966309e-05+4.023698057058649e-05j),(-1.781245436222613e-10+5.42499328494151e-08j),(-6.834426319022101e-10+6.080993406237406e-10j),(-0.0006957012297472993+8.758236525710375e-05j),(0.21945860503023817-0.04144975164019603j),(0.010144478571106575-0.016475130034796753j),(-9.666946949715707e-06+2.8129471859197183e-06j),(-8.780709262319944e-06+3.837193541279814e-06j),(-2.2323700030506574e-06+5.3217888747640336e-06j),(1.0198044733687562e-06+5.467931213462672e-06j),(0.0007173413871936925-0.003926360457993284j),(1.609510735391378e-11+3.210805690404262e-11j),(1.304911170495569e-08+5.755479105991027e-08j)
Bus 08,(0.0036397907466424557-0.004502654026140986j),(-0.0007796381319777034-0.0003787537967146872j),(-0.00089996201566513-0.0032496975225397014j),(0.025073631531290528-0.020885900307287306j),(0.2851019996322508+0.08106214306655543j),(0.11639930660512074-0.057260934472485335j),(0.618805670922-0.010455701835073272j),(1.2372620271077825+0.7686158352630649j),(0.5042776003999638+0.3176147739527288j),(0.003006547415041614-0.011183431013337035j),(0.02259738867202362-0.017637966696136625j),(0.021828973584995-0.017307057899703736j),(0.021321419378044066-0.017163658940368122j),(0.018197270493625035-0.01538465127086321j),(0.0001009556909922554-0.002109761487197212j),(-0.0002681082342815649-0.00023577297260791636j),(-0.00047709217131664325-0.0002860376895609357j),(-0.0008635489153720657-0.00047934454247322317j),(-8.126112828958155e-06+3.377493477380055e-06j),(-7.156704887016387e-06+4.27978023446455e-06j),(-5.9681774224500056e-05+6.117975870423545e-06j),(-1.4337708300724006e-06+4.799156203414242e-06j),(1.2278143880591583e-06+4.638252555736963e-06j),(-0.00013079682076762812+8.418433907844308e-05j),(-0.00021580849960923452-2.416347954693838e-06j),(-7.868823303288295e-07+1.312608918440987e-07j),(-7.272671660854001e-05+3.0824699533470546e-05j),(-2.1495904058280795e-08+5.621666365661589e-08j),(-9.47981785043846e-10+3.624512814485639e-10j),(-0.0008011679291957106-0.0003450493005543384j),(0.10130256722762343-0.06759193344870364j),(0.0017959614317315416-0.01090722127361472j),(-7.69162463144121e-06+3.84216970108427e-06j),(-6.790345271231276e-06+4.567144626628552e-06j),(-1.0614834628025729e-06+4.812734579201646e-06j),(1.6932708850110674e-06+4.43801898883302e-06j),(0.006430093828799481-0.006854299713439366j),(4.086303643771271e-12+3.963615686173228e-11j),(-9.070331033420447e-09+6.484167348994336e-08j)
Bus 09,(0.17622620368895692+0.014127188988399212j),(0.004362276922026093-0.010278395088383097j),(-0.0013621890440326805-0.0026326640209403496j),(0.010204622342721764-0.008477556165756791j),(0.11642623248379336+0.03389284351891356j),(0.04776617608315959-0.02312908313711053j),(0.25321056003687664-0.002708497203103703j),(0.5042776003999638+0.3176147739527288j),(1.2416337998951206+17.77604810225689j),(0.0012569772265948972-0.004565519862439245j),(0.009284025128022289-0.007156474265365741j),(0.00896862997442511-0.007023050895347683j),(0.008760364209163861-0.006965657259376855j),(0.00744337042192144-0.006243208097560733j),(4.3526235839249195e-05-0.0008535980933419796j),(-0.00013411656487912317-7.770989278175044e-05j),(-0.00039586769606579566-0.00013472905668398763j),(-0.0008027945869477865-0.0002637379005971175j),(-3.174461676573459e-06+2.125823303637104e-06j),(-2.685318374410377e-06+2.4280050604228452e-06j),(-2.48959900781271e-05+7.655338240472593e-06j),(-2.0443064094146757e-07+2.1648995164358765e-06j),(9.153097472351297e-07+1.8711641798354531e-06j),(-4.857232926513058e-05+4.691519433116163e-05j),(-0.00010983783249310811-0.0027779850782655626j),(-4.0494540664236257e-07-5.670110912682935e-06j),(-4.933443515838457e-05+3.354398042907057e-05j),(-3.8443810413241536e-07-1.9009343976386552e-07j),(-1.9373240196897173e-09-6.9676030966051035e-09j),(0.003914555791936706-0.010533313391767466j),(0.04161630496947426-0.027394108053373105j),(0.0007612836442864732-0.004455563597843767j),(-2.950127769379186e-06+2.2869259199293245e-06j),(-2.5049988321886297e-06+2.5193697183736042e-06j),(-4.4754308658266636e-08+2.1391790568452373e-06j),(1.0965668966652542e-06+1.7465145184362828e-06j),(0.279031022440276+0.03407259581446483j),(-2.8392095694129534e-10+2.4813831046858888e-12j),(-4.539358871413604e-07-1.0771175213234976e-07j)
Bus 10,(-0.00034030414543891686-0.00012513765987896318j),(-0.0007917706135356414-0.0002650190253825549j),(-7.04921446896496e-05-0.0046977098974175565j),(0.04108922370179715-0.018670915646790253j),(0.06530049295146784-0.012939862714894841j),(0.08472038783907415-0.012341357789362193j),(0.012288504921111765-0.01611944058311872j),(0.0030065474150416157-0.011183431013337037j),(0.0012569772265948972-0.004565519862439244j),(1.0522604780836615+0.7889614315439005j),(0.6682951545764337+0.4885869721528j),(0.6664277569986607+0.487470118240574j),(0.671972449036765+0.4923307138651128j),(0.31715280728324907+0.2136937731663835j),(0.0332103482419188-0.007601667077463885j),(0.0029053063495376535-0.0042820386459216j),(0.0006227475541933249-0.002468971844295173j),(-0.0010765755800710116-0.001827897996656028j),(-6.327244551802983e-05-0.00011074277496801087j),(-7.449330838537601e-05-9.516996337106499e-05j),(-0.00019596827234832172-0.0008471587466508206j),(-7.160660782905797e-05-1.1933905410682267e-05j),(-6.447679096042998e-05+2.6048766261954575e-05j),(-0.0014472483475187299-0.0017285418047392547j),(-0.00020659089513969876+2.4473087611599786e-05j),(-1.4898819005511378e-06-1.2328788932686042e-06j),(-0.00023095604305126447-0.0002777717444962097j),(-1.3710233388540436e-07+4.9890774202631444e-08j),(-2.169147362844903e-09-1.1608614301053655e-09j),(-0.0008081528333090818-0.0002301499617090875j),(0.07733569494004701-0.02189284419024041j),(1.0742268430760578+0.6496648656470064j),(-6.916834339962124e-05-0.00010365398918496433j),(-7.796272258897574e-05-8.938170944420942e-05j),(-7.112823014328301e-05-6.5558123897588e-06j),(-6.075519457487733e-05+3.237975689019753e-05j),(-6.951181543871584e-05-2.8901408750061928e-05j),(-6.611157337732839e-11+7.042126123700301e-11j),(-1.3317040708493288e-07+8.634550177082636e-08j)
