Generador,Barra Conexión,Barra Cálculo,Tipo,Control,Z_device,K_vtg_normal,λSCR_normal,K_vtg_fault,λSCR_fault
PV1,PV1 LV,Bus 29,ElmPvsys,av_mode=constq,41.32812499999999,0.6930540889331879,0.9836968807863442,0.6694314033397671,0.970349038794159
PV2,PV2 LV,Bus 26,ElmPvsys,av_mode=constq,27.552083333333336,0.5461853799786655,0.6574448974573972,0.5333917541248786,0.6514409936296012
G 01,Bus 39,Bus 39,ElmSym,Vtheta,4099233.3984375005,0.9999399614730863,16488.010955175283,0.9999399614730806,16488.010953615547
G 02,Bus 31,Bus 31,ElmSym,Vtheta,,,,,
G 03,Bus 32,Bus 32,ElmSym,Vtheta,14423.515625000002,0.9608389422571196,21.173722772377047,0.9608389422571223,21.17372277239174
G 04,Bus 33,Bus 33,ElmSym,Vtheta,14836.796875000002,0.9808521234109578,47.10616004737671,0.9808521234087455,47.106160041876926
G 05,Bus 34,Bus 34,ElmSym,Vtheta,36916.34765625,0.9922501224295914,119.30785454303314,0.9922501224287105,119.30785453055347
G 06,Bus 35,Bus 35,ElmSym,Vtheta,14423.515625000002,0.9541835841442045,19.581165702057767,0.9541835841440821,19.58116570211472
G 07,Bus 36,Bus 36,ElmSym,Vtheta,16744.778645833336,0.9644939694864618,26.346530367672653,0.9644939694869836,26.346530368111473
G 10,Bus 30,Bus 30,ElmSym,Vtheta,37505.2734375,0.9570914425655198,21.928962306133,0.9570914590334554,21.928970556449155
