Bus,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,PV1 LV,PV2 LV
Bus 1,(0.016902234249707587+0.2104332086219861j),(0.00014807225916742614+0.0008081927963348403j),(-0.009940404828855024+0.016806798166058415j),(0.009884266282352677+0.07303459654375852j),(0.010376777789492251+0.031012466335335356j),(0.006117679894814308+0.04109832971475472j),(0.00013371736665420634+0.0008228514466890772j),(-0.002903928545582414+0.00877288698406187j),(-0.009456619519951916+0.017246080470071333j),(7.610221170126479e-05-2.2891223013363508e-05j),(0.005844734848778564-0.0016692271649860224j)
Bus 2,(0.00014807225916742617+0.0008081927963348404j),(0.013350792092604084+0.19641359126982114j),(-0.009905906924402182+0.016981336186793997j),(0.00012348994683263517+0.0008365134659129518j),(0.010344853993392612+0.03168553455929782j),(-0.0030354153066118913+0.008926507308254793j),(0.009536206236833234+0.07451430314279568j),(0.006573773200936+0.04126403465680026j),(-0.009416167756965391+0.017420665978757795j),(0.006923585924109524-0.0018297910823050203j),(6.682223024481996e-05-1.9957778211470222e-05j)
Bus 3,(-0.009940404828855023+0.01680679816605842j),(-0.009905906924402179+0.016981336186793993j),(-1.3552396444803632+1.638681198898149j),(-0.010822825585466505+0.016931718366757973j),(-0.006359870870559718+0.01637618518094911j),(-0.4955045626480422+0.8261269564194144j),(-0.010394971242324169+0.01702378692662602j),(-0.47794990718851804+0.8224347633917412j),(-1.3106760829265576+1.6062655017216734j),(0.0017384645517053883+0.00077030660086786j),(0.001509852834510504+0.0006834767553963558j)
Bus 4,(0.009884266282352675+0.0730345965437585j),(0.00012348994683263517+0.0008365134659129518j),(-0.010822825585466506+0.01693171836675797j),(0.0075631186064304395+0.07546924979249801j),(0.009567350997303435+0.032266530161914435j),(0.004827354454858581+0.04248816829799992j),(0.00010820332736240092+0.0008510784547374839j),(-0.0032993935793622416+0.008919524462866752j),(-0.010340902623069989+0.01740076778674175j),(7.90879002578943e-05-2.083160155731014e-05j),(0.006070872632228856-0.0015085127913316446j)
Bus 5,(0.010376777789492253+0.031012466335335356j),(0.010344853993392607+0.03168553455929781j),(-0.006359870870559719+0.01637618518094911j),(0.009567350997303435+0.032266530161914435j),(0.5113675517259911+1.5370665717679224j),(0.004898234766773254+0.022061160203146017j),(0.009847434985887787+0.03235284127841691j),(0.005265790662567283+0.021736878466611827j),(-0.005866029004701998+0.01669519849507887j),(0.002934989007984087-0.0013338357609264967j),(0.002520781741394043-0.001161952341696958j)
Bus 6,(0.00611767989481431+0.0410983297147547j),(-0.003035415306611889+0.008926507308254792j),(-0.49550456264804227+0.8261269564194144j),(0.004827354454858583+0.04248816829799992j),(0.004898234766773253+0.02206116020314602j),(0.295883804582227+2.042926011938827j),(-0.003261226036115499+0.008993126541238777j),(-0.1524843859750163+0.4183956651102942j),(-0.47177093470670395+0.8479454436356711j),(0.000890586518146991+0.00019615901946464867j),(0.0034110953325217036-0.0008957513293430218j)
Bus 7,(0.00013371736665420634+0.0008228514466890776j),(0.009536206236833232+0.07451430314279567j),(-0.01039497124232417+0.017023786926626025j),(0.0001082033273624009+0.0008510784547374841j),(0.00984743498588779+0.032352841278416915j),(-0.0032612260361155002+0.008993126541238778j),(0.0081534358225306+0.07578184771528333j),(0.005826649228030754+0.04199234172915727j),(-0.009907142158632351+0.017479433746609815j),(0.007060613299495724-0.0017148989210383782j),(6.819160903585937e-05-1.888199672072107e-05j)
Bus 8,(-0.0029039285455824135+0.00877288698406187j),(0.006573773200936002+0.041264034656800265j),(-0.47794990718851804+0.822434763391741j),(-0.003299393579362242+0.008919524462866752j),(0.005265790662567283+0.021736878466611827j),(-0.15248438597501626+0.41839566511029413j),(0.005826649228030752+0.04199234172915727j),(0.3276800781979443+2.0098073725326207j),(-0.4542187950463401+0.8436529226149787j),(0.0038961297208192085-0.0010739444520401974j),(0.0007670172499314207+0.0001639876361234412j)
Bus 9,(-0.009456619519951914+0.017246080470071333j),(-0.00941616775696539+0.017420665978757795j),(-1.3106760829265576+1.6062655017216734j),(-0.010340902623069989+0.017400767786741753j),(-0.005866029004701998+0.01669519849507887j),(-0.4717709347067039+0.8479454436356711j),(-0.009907142158632351+0.01747943374660981j),(-0.4542187950463401+0.8436529226149788j),(-1.266874201659461+1.6600700041086378j),(0.001775449363427221+0.0007185236530289373j),(0.0015424482654633116+0.0006386010361854734j)
PV1 LV,(7.610221170126478e-05-2.2891223013363525e-05j),(0.006923585924109524-0.0018297910823050205j),(0.0017384645517053879+0.0007703066008678599j),(7.908790025789428e-05-2.083160155731015e-05j),(0.002934989007984087-0.0013338357609264972j),(0.0008905865181469908+0.0001961590194646486j),(0.007060613299495724-0.0017148989210383787j),(0.0038961297208192085-0.0010739444520401977j),(0.0017754493634272207+0.0007185236530289372j),(0.007310815642530145-0.0016428080488974097j),(-2.6342839073675578e-06-6.209565282892017e-06j)
PV2 LV,(0.005844734848778565-0.0016692271649860221j),(6.682223024481996e-05-1.995777821147022e-05j),(0.001509852834510504+0.0006834767553963558j),(0.006070872632228857-0.0015085127913316448j),(0.0025207817413940427-0.001161952341696958j),(0.0034110953325217036-0.0008957513293430218j),(6.819160903585935e-05-1.8881996720721065e-05j),(0.0007670172499314207+0.00016398763612344118j),(0.0015424482654633116+0.0006386010361854734j),(-2.6342839073675578e-06-6.209565282892016e-06j),(0.006335183979147568-0.0014223960016690863j)
