Bus,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,PV1 LV,PV2 LV
Bus 1,(0.016449462494377058+0.2173464234134733j),(0.0001236517493463055+0.0008677470038301589j),(-0.011409951751039087+0.014792432629987239j),(0.008935796435698582+0.07700523637738113j),(0.010286911828899448+0.03282822498082322j),(0.00515799582867889+0.04219471540614152j),(0.00010724032560197236+0.000879326608869301j),(-0.003700457825659471+0.008045848075275598j),(-0.010911615943830472+0.015336089124530243j),(6.93386231898481e-05+1.265073088627502e-05j),(0.004587895253725085+0.0007742940000283491j)
Bus 2,(0.0001236517493463055+0.0008677470038301592j),(0.012812980039594055+0.20054073034326042j),(-0.011235841557283527+0.014898840739238332j),(9.4473594046761e-05+0.000884424695745851j),(0.010320309007996341+0.03322166199202193j),(-0.0037751656388938636+0.008132683095782172j),(0.008855684619754806+0.07789525900902591j),(0.0057765142493674555+0.04203266478878682j),(-0.010732191574378831+0.015436443437572769j),(0.006127133848848456+0.0011696072866285863j),(5.255657913873765e-05+9.363060333591157e-06j)
Bus 3,(-0.011409951751039083+0.014792432629987244j),(-0.011235841557283525+0.014898840739238337j),(-1.379859669720915+1.3535592802981333j),(-0.012098504302429251+0.014594957517073614j),(-0.007825760456810346+0.014629498917455923j),(-0.5262401156392847+0.7002942647255848j),(-0.011657052004618133+0.014825136221685553j),(-0.509978787444516+0.698658150054044j),(-1.3365271486779533+1.328467535539454j),(0.0008505498103173984+0.0012362255079969942j),(0.0006386279659704094+0.0009416776237022494j)
Bus 4,(0.00893579643569858+0.07700523637738114j),(9.447359404676098e-05+0.0008844246957458511j),(-0.012098504302429255+0.014594957517073608j),(0.006317672365452595+0.07841263281625192j),(0.009262372496321282+0.03365907319964262j),(0.003727105201318174+0.042975218404309984j),(7.74173983914087e-05+0.0008955831398262525j),(-0.004039541455218607+0.008027738370929844j),(-0.011612497624610005+0.01516406260041453j),(6.98682581335279e-05+1.5300867832954302e-05j),(0.004625176163365773+0.0009487568400288882j)
Bus 5,(0.010286911828899452+0.032828224980823204j),(0.010320309007996338+0.03322166199202192j),(-0.00782576045681035+0.01462949891745592j),(0.009262372496321284+0.033659073199642606j),(0.5114254577522407+1.538314461494403j),(0.004084003352090509+0.02205287187031944j),(0.009750305328630053+0.03377894739282678j),(0.004557367617460832+0.021739991866876626j),(-0.007309566262772484+0.015032646124793726j),(0.0027967900305514905+5.8208518792526756e-05j),(0.002095059730368457+2.9715523122091254e-05j)
Bus 6,(0.005157995828678888+0.04219471540614152j),(-0.003775165638893865+0.008132683095782176j),(-0.5262401156392849+0.7002942647255845j),(0.003727105201318172+0.04297521840430999j),(0.004084003352090507+0.022052871870319436j),(0.27335787280879376+1.989456433510325j),(-0.003980475665403774+0.008140554596560965j),(-0.17537167953847108+0.36527294492750056j),(-0.5025542190392486+0.7254901800870558j),(0.0005242897318075788+0.0004949351752864073j),(0.0025393275394008617+0.0005047293054497949j)
Bus 7,(0.00010724032560197231+0.0008793266088693009j),(0.008855684619754806+0.07789525900902591j),(-0.011657052004618135+0.014825136221685548j),(7.741739839140871e-05+0.0008955831398262522j),(0.009750305328630055+0.03377894739282678j),(-0.003980475665403774+0.008140554596560965j),(0.0073590525441893685+0.07888894674117561j),(0.004979340255153977+0.04258922161820688j),(-0.011159112270062894+0.015378624607835106j),(0.006167225819748589+0.0013068085931992807j),(5.291413200269296e-05+1.0532941490253262e-05j)
Bus 8,(-0.0037004578256594695+0.008045848075275596j),(0.005776514249367452+0.04203266478878682j),(-0.509978787444516+0.6986581500540435j),(-0.0040395414552186065+0.008027738370929842j),(0.004557367617460831+0.021739991866876623j),(-0.17537167953847102+0.3652729449275005j),(0.004979340255153976+0.04258922161820688j),(0.30442206303000097+1.9583363500213027j),(-0.4862467532231164+0.7232105259280616j),(0.0033532615885441736+0.0006290370866372548j),(0.00039505239431569464+0.00036723386397367517j)
Bus 9,(-0.010911615943830466+0.015336089124530237j),(-0.010732191574378828+0.015436443437572766j),(-1.336527148677953+1.3284675355394533j),(-0.011612497624609999+0.015164062600414523j),(-0.007309566262772477+0.015032646124793719j),(-0.5025542190392482+0.7254901800870555j),(-0.01115911227006289+0.015378624607835102j),(-0.4862467532231163+0.7232105259280616j),(-1.29387806200375+1.3894206823512802j),(0.0009043753832232794+0.0012114882251487548j),(0.0006795662934386136+0.0009231947699988956j)
PV1 LV,(6.933862318984811e-05+1.2650730886275021e-05j),(0.0061271338488484576+0.0011696072866285861j),(0.0008505498103173985+0.0012362255079969946j),(6.98682581335279e-05+1.53008678329543e-05j),(0.0027967900305514914+5.820851879252665e-05j),(0.0005242897318075788+0.0004949351752864075j),(0.00616722581974859+0.0013068085931992807j),(0.0033532615885441745+0.0006290370866372551j),(0.0009043753832232795+0.0012114882251487553j),(0.006322721108700977+0.0014545383535298551j),(2.051704369283153e-06-3.7707470399209245e-06j)
PV2 LV,(0.004587895253725084+0.000774294000028349j),(5.2556579138737634e-05+9.363060333591152e-06j),(0.0006386279659704092+0.0009416776237022491j),(0.004625176163365773+0.0009487568400288883j),(0.002095059730368457+2.9715523122091417e-05j),(0.0025393275394008617+0.000504729305449795j),(5.291413200269295e-05+1.0532941490253259e-05j),(0.00039505239431569453+0.00036723386397367506j),(0.0006795662934386134+0.0009231947699988954j),(2.0517043692831524e-06-3.770747039920924e-06j),(0.004743010544888741+0.0010887686815745459j)
